"","GSM ID","Tissue","Disease","Mast cells","Neutrophils","Eosinophils","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells activated","Dendritic cells resting","B cells memory","B cells naive","Plasma cells","T cells CD4 naive","T cells CD4 memory","T cells follicular helper","Tregs","T cells CD4 activated","T cells CD8","T cells gamma delta","NK cells resting","NK cells activated"
"GSM494796","GSM494796","Adipose","HIV infection",8.12,0,0,0,48.32,1.36,23.14,0,1.24,0.91,2.02,0.05,0,0,3.83,2.92,0,5.55,0.26,0,2.28
"GSM494797","GSM494797","Adipose","HIV infection",4.7,0.25,0,0,51.9,1.69,16.42,0,1.65,2.29,1.92,0.45,0,0,4.92,1.95,0,7.07,0,0,4.8
"GSM494798","GSM494798","Adipose","HIV infection",9.38,0,0,0.16,35.15,2.5,23.6,0,0.5,6.39,0.52,0.76,0,0,3.63,3.16,0,6.52,0.98,0,6.73
"GSM494799","GSM494799","Adipose","HIV infection",10.57,0,0,0,25.61,4.5,25.57,0,0,9.21,0,0.32,0,1.85,1.08,3.71,0,8.17,0,0,9.41
"GSM494800","GSM494800","Adipose","HIV infection",13.01,0,0,1.81,4.4,6.06,30,0,0.73,3.77,5.65,0,0,0,3.95,1.32,0,13.85,2.57,0,12.89
"GSM494801","GSM494801","Adipose","HIV infection",6.87,0,0,0,40.32,2.47,25.94,0,0.4,1.09,3.04,1.09,0,0,2.49,4.28,0,7.36,2.49,0,2.16
"GSM494802","GSM494802","Adipose","HIV infection",3.69,0,0,0,50.48,2.07,25.92,0,1.69,0,3.32,0.53,0,0,3.27,3.45,0,0.77,1.74,0,3.07
"GSM646776","GSM646776","Pericardial adipose tissue","Cardiovascular disease",2.63,0.31,0,6.56,4.45,2.05,9.57,0,0.44,16.62,0,26.71,6.23,0,5.45,0,0,3.8,4.63,0,10.55
"GSM646777","GSM646777","Pericardial adipose tissue","Cardiovascular disease",11.35,3.83,0,7.14,0.19,1.12,7.3,0,1.69,9.91,0,6.75,5.62,0,7.4,0,0,8.04,7.5,0,22.16
"GSM646779","GSM646779","Pericardial adipose tissue","Cardiovascular disease",24.16,7.65,0,20.56,2.14,1.61,8.59,1.84,0,2.75,1.49,3.02,0,3.55,5.21,0,0,5.95,0.5,0,10.97
"GSM646780","GSM646780","Pericardial adipose tissue","Cardiovascular disease",11.85,8.46,0,17.73,5.22,0.35,28.45,0.46,0,1.29,1.15,1.76,0,5.55,3.66,0,0,0,1.71,0,12.35
"GSM646782","GSM646782","Pericardial adipose tissue","Cardiovascular disease",5.84,2.34,0,3.84,10.11,1.15,3.63,0.68,0,33.19,3.67,6.28,5.95,0.84,7.27,0,0,0,7.53,0,7.68
"GSM646784","GSM646784","Pericardial adipose tissue","Cardiovascular disease",5.32,2.7,0,0,0.88,1.97,7.66,2.41,0,7.91,5.46,8.14,3.13,1.59,12.76,0,0,1.74,29.22,0,9.11
"GSM646786","GSM646786","Pericardial adipose tissue","Cardiovascular disease",15.43,20.79,0,2.36,0,0.37,27.86,0.56,0,3.93,0,1.58,0,5.22,3,0,0,0,2.41,0,16.49
"GSM646787","GSM646787","Pericardial adipose tissue","Cardiovascular disease",14.89,3.5,0,17.44,0,1.44,21.73,0.3,1.01,2.64,0,1.85,0,13.29,2.81,0,0,0,6.7,0,12.41
"GSM646789","GSM646789","Pericardial adipose tissue","Cardiovascular disease",14.16,7.64,0,15.91,0,4.21,14.2,0.55,0.57,3.28,0,1.37,0,11.17,2.64,0,0,0,12.43,0,11.88
"GSM646792","GSM646792","Pericardial adipose tissue","Cardiovascular disease",6.06,3.37,0,5.53,0,1.51,21.99,0,2.78,12.77,0,8.25,1.95,2.46,6.53,0,0,0,5.64,0,21.17
"GSM646794","GSM646794","Pericardial adipose tissue","Cardiovascular disease",5.76,0,0,6.67,0,0.96,33.11,0,1.98,7.67,0,4.92,0.27,0,5.98,0.64,0,10.57,1.75,0,19.7
"GSM646774","GSM646774","Subcutaneous adipose tissue","Cardiovascular disease",11.62,1.35,0,1.59,16.77,0,39.11,2.23,1.83,1.89,0.45,1.44,0,3.97,2.63,0,0,3,3.62,0,8.51
"GSM646775","GSM646775","Subcutaneous adipose tissue","Cardiovascular disease",7.82,0,0,10.32,23.56,0.77,27.53,0,0.82,5.57,1.98,0,2.98,0,0.93,0.09,0,3.83,1.92,0,11.87
"GSM646778","GSM646778","Subcutaneous adipose tissue","Cardiovascular disease",22.1,8.88,0,6.96,6.21,3.54,16.32,0,0.89,4.3,0.54,2.38,0,7.23,3.42,0.96,0,3.26,0,0,12.99
"GSM646783","GSM646783","Subcutaneous adipose tissue","Cardiovascular disease",2.1,0,0,5.85,67.3,0.16,9.5,0,9.85,1.76,0,0.54,0.21,0.11,0.72,0,0,0,0.43,0,1.47
"GSM646785","GSM646785","Subcutaneous adipose tissue","Cardiovascular disease",13.8,12.1,0,16.21,0,1.21,15.35,1.07,0,4.93,0,3.03,0,10.07,2.44,0,0,0,6.7,0,13.09
"GSM646790","GSM646790","Subcutaneous adipose tissue","Cardiovascular disease",6.2,23.93,0,8.85,0,1.59,14.66,0.31,0.72,3.26,0,1.46,0,5.26,4.21,0,0,0,8.95,0,20.6
"GSM646791","GSM646791","Subcutaneous adipose tissue","Cardiovascular disease",14.22,3.64,0,11.8,0,0.55,28.51,0.16,0,3.24,1,2.3,0,11.12,3.63,0,0,0.18,1.47,0,18.19
"GSM646793","GSM646793","Subcutaneous adipose tissue","Cardiovascular disease",19.03,10.79,0,1.22,1.75,0.24,24.52,0.28,0.8,6.23,0,5.37,1.46,0,5.56,1.88,0,3.82,0.54,0,16.52
"GSM988656","GSM988656","Visceral adipose tissue","Coronary and carotid artery disease",6.29,0.25,0,1.6,0,2.34,16.57,0.11,0,16.81,0,22.39,0,2.34,5.11,2.02,0,13.89,5.21,0,5.08
"GSM988659","GSM988659","Visceral adipose tissue","Coronary and carotid artery disease",11.73,5.93,0,0,0,2.03,14.02,0,3.88,6,0,34.23,2.79,0.7,2.78,2.07,1.83,7.45,2.84,1.72,0
"GSM988662","GSM988662","Visceral adipose tissue","Coronary and carotid artery disease",14.5,19.44,0,6.45,0,1.41,21.14,0,0.36,4.98,0,7.52,0,1.3,0.33,0,0,10.58,7.9,0.41,3.7
"GSM988665","GSM988665","Visceral adipose tissue","Coronary and carotid artery disease",7.89,13.98,0,14.75,0,3.56,14.73,0,0.5,5.29,0,10.04,0,0,1.27,2.06,0,16.83,0,9.1,0
"GSM988671","GSM988671","Visceral adipose tissue","Coronary and carotid artery disease",14.68,0.55,0,0.34,0,2.09,21.12,0,0.7,4.16,0,41.33,0,2.04,0.12,1.2,0,7.88,0.88,0,2.9
"GSM988676","GSM988676","Visceral adipose tissue","Coronary and carotid artery disease",3.45,3.97,0.76,4,0,2,18.62,0,2.32,8.99,0,31.6,0,0,2.67,1.71,0,9.29,4.46,0,6.17
"GSM988686","GSM988686","Visceral adipose tissue","Coronary and carotid artery disease",7.94,19.16,0,5.98,0,2.65,31.41,0,1.16,3.22,0,4.7,0,2.42,1.33,1.77,0,12.88,0,1.33,4.06
"GSM988691","GSM988691","Visceral adipose tissue","Coronary and carotid artery disease",10.73,0.63,0,3.63,0,2.43,14.77,0,11.03,4.76,0,27.66,3.47,0,2.45,1.26,0.52,7.46,8.59,0,0.62
"GSM988701","GSM988701","Visceral adipose tissue","Coronary and carotid artery disease",3.24,0,0,0.19,0,1.8,1.77,0.34,9.66,8.8,0,22,14.47,0,12.86,7.26,0,14.07,0,0,3.53
"GSM988704","GSM988704","Visceral adipose tissue","Coronary and carotid artery disease",6.93,14.77,0,3.41,0,1.76,16.06,0,6.65,3.77,0,23.62,0,0,5.2,3.97,0,12.93,0,0,0.91
"GSM988714","GSM988714","Visceral adipose tissue","Coronary and carotid artery disease",6.71,0.13,0,0,0,2.87,16.49,0,9.74,13.52,0,12.88,1.24,1.37,10.14,3.67,2.93,15.34,2.94,0,0
"GSM988719","GSM988719","Visceral adipose tissue","Coronary and carotid artery disease",4.44,0,0,0.08,0,1.49,11.61,0,2.79,13.02,0,23.31,15.29,4.4,9.89,1.32,1.28,9.78,1.02,0.28,0
"GSM988729","GSM988729","Visceral adipose tissue","Coronary and carotid artery disease",13.47,9.43,0.11,13.8,0,3.29,27.05,0,2.92,7.65,0,4.48,0.31,0,0.62,0,0,4.41,2.49,0,9.97
"GSM988734","GSM988734","Visceral adipose tissue","Coronary and carotid artery disease",11.91,5.02,0,4.73,0,11.9,12.75,0,1.06,10.23,0,18.94,0,7.35,0,1.8,0,9.27,0.9,4.14,0
"GSM988739","GSM988739","Visceral adipose tissue","Coronary and carotid artery disease",2.37,0,0,0,0.72,2.16,4.76,0,5.66,7.89,0,19.12,15.88,0,20.69,6.96,0.29,12.23,0,0,1.28
"GSM988749","GSM988749","Visceral adipose tissue","Coronary and carotid artery disease",13.17,10.98,0,3.93,0,1.27,46.79,0,1.47,1.71,2.19,2.9,0,0,0.42,0,0,6.61,0,0,8.55
"GSM988754","GSM988754","Visceral adipose tissue","Coronary and carotid artery disease",13.15,14.78,0,0,0,1.66,14.58,0,0,15.81,0,10.83,6.82,0,1.05,0.88,0,0,14.62,0,5.81
"GSM988757","GSM988757","Visceral adipose tissue","Coronary and carotid artery disease",7.69,11.88,0,12.13,0,3.67,27.92,0,0,1.99,2.7,0.76,0,0,4.28,0,0,21.42,0,0,5.56
"GSM988760","GSM988760","Visceral adipose tissue","Coronary and carotid artery disease",9,2.39,0,0.68,0,1.6,31.95,0,0.62,6.27,0,25.55,0,0.08,0.61,0.71,0,16.01,1.66,0.56,2.31
