"","GSM494796","GSM494797","GSM494798","GSM494799","GSM494800","GSM494801","GSM494802"
"Nat2",5.48425201550567,5.41125732965572,5.22102278113893,5.58491638919616,5.45878716382545,5.4912105836922,5.24847100617336
"Ada",7.54961835126839,7.73200984010883,8.1798168126663,8.11919528924039,7.8373962432727,8.12733290018519,7.66601704090126
"Cdh2",5.64409041092425,5.82026313813812,5.84407099657522,5.79835840389929,5.81408088630128,5.69832206759676,5.98325520273713
"Akt3",6.53697284402335,6.24997178510612,6.59423319914825,6.50004680139535,6.44359435468655,6.50594605743208,6.31705707581319
"Med6",5.32191956522077,4.83898845079995,5.22955077000674,5.37264380482041,5.62762142589129,5.37951899050353,5.54752293433849
"Nr2e3",4.41016646822429,4.47138447258031,4.50572210587066,4.47998757291661,4.62082025649178,4.42534690888285,4.37590153371412
"Naalad2",3.63265477036275,3.74791875881859,3.82974509689186,3.71571641972948,3.83179716317454,3.67037458585281,3.69283123878703
"Naaladl1",4.86829539614657,4.56977694051518,4.70054892932329,4.77508955290512,4.89719051900379,4.99852339105931,4.94056274721864
"Cdkn2b-as1",5.7921743802976,5.8975180830299,5.82454856961689,6.03465063680096,6.07939419234832,5.68934841413228,5.76178897595488
"Acot8",7.33583380483715,7.37225070771245,7.55395777898434,7.18405922157274,7.36484299606799,7.34742683416452,7.43176718357474
"Abi1",7.78408887906511,6.92524156415023,7.32373859407435,7.31166847959693,7.16648804094695,7.73144854769474,7.46867002975262
"Gnpda1",9.725496796687,9.52452098686236,9.38107255156545,9.34666934176648,8.9930481356586,9.28447120176329,9.36149244346405
"Zbtb33",3.56064463781772,3.59339105515774,3.48320771959628,3.43455606966225,3.56887881395917,3.5447924724606,3.48718130848863
"Cdh3",5.66479316472321,5.59146937703178,5.47777326899513,5.88414736552426,5.75751516010945,5.65585719846468,5.55264564965967
"Tank",5.73379319104371,5.68745268108637,5.90902081669393,5.53492702834243,5.77221961042297,5.91763022974916,5.76321311190548
"Hgc6.3",4.96031391671781,5.28057719982046,5.22775567195476,5.08591327860555,5.26699231630114,5.15567666954608,5.22730635374078
"Khdc1l",4.25492222744507,4.05559245437947,4.39353251744725,4.50932049189255,4.11392932498731,4.19492881296843,4.18381235853566
"C1orf68",6.18604165233483,6.30634322623608,6.15511222467394,6.38389450986664,6.33313314078844,6.13821829328378,6.18410557707961
"Loc100129503",7.07401743268928,7.29279683782734,7.01435796711641,7.3437385135255,7.12475306853807,6.80111831868324,7.06839449524366
"Hdac6",7.26770105516407,7.43816684585027,7.38761095953286,7.50576515965934,7.40034818073204,7.24528541182725,7.14017885901494
"Armcx4",4.36516545004209,4.44774201509561,4.42120893010698,4.41108865901017,4.26224786771555,4.34453811036384,4.37169909140747
"Krtap4-7",3.7114128473856,3.6789604175031,3.51962283093379,3.6019168699651,3.45252987263461,3.45960046543157,3.56615954632965
"Jmjd7",6.78061770081361,6.83569559493264,7.06582975310042,6.99657635691488,6.93835894576567,6.99353067916116,7.07452735838372
"Hdac5",7.49875741762015,7.78295447331849,7.60529518228949,7.29594113879778,7.23122819895774,7.44459155583721,7.35269806870537
"Pdcd6ip",9.58312121959261,9.23095000465572,9.63727627661038,9.55547139540012,9.2703690629426,9.74171426777194,9.73138482657567
"Pdcd6",8.63679908278025,7.85068211514008,8.84219695291965,9.35577699531316,9.2649950754532,9.33087230284156,9.32640288156735
"Bcl2l10",4.977887548053,5.17354236676737,5.21743276454772,4.85079771969067,4.9888630403499,5.07351958421923,4.98183948164088
"Bcl2l11",3.77128801207724,3.78480347212826,3.89279790643618,3.84062633339996,3.85268384319101,3.7114128473856,3.70618236550635
"Tomm6",10.9044485737144,10.92972903959,10.9591536044541,11.0008907970249,10.9931829089883,10.8051339610419,10.8973420117252
"Sh2b3",10.2636319301863,9.67645644895979,9.60455032388554,9.28993152814758,9.28666081637163,9.87363480825991,9.62902111276452
"Cdh4",5.21698425880539,5.49167352648419,5.28284207049902,5.22282104563826,5.10675142640676,5.19770420252586,4.97525401965406
"Gne",6.80463096070288,7.08219077895279,7.41737433192172,6.49119252912477,7.33161831691473,7.25518076767465,6.83469211377493
"Hcn4",4.75625897157076,4.68693505504166,4.52326953134167,4.76765318493296,4.78429419419516,4.54477093203005,4.86216688320177
"Insl5",4.48179946891107,4.37216381354334,4.42947380047594,4.37122949428388,4.34830316289379,4.51202147282505,4.23971535386619
"Frat1",7.08372596029545,6.7951167110403,6.64422616219355,6.26648052626527,6.5665553077985,6.40051836527645,6.59670119904847
