"","GSM2460692","GSM2460693","GSM2460694","GSM2460695","GSM2460696"
"Nat2",4.51922303445215,4.542978466254,4.78954797093042,4.52909650698053,4.67197326441317
"Ada",6.88846295692441,6.99353067916116,7.19700382671362,7.49875741762015,7.12936315116543
"Cdh2",5.27197019249483,5.46248754508543,5.3813546381053,6.23349433233842,5.27061231453438
"Akt3",5.47174264703488,6.13194924799656,5.97126754572332,5.90758268686399,5.91954488670204
"Med6",7.07861477636084,7.36378809767892,7.4168439010943,6.95403383332589,6.7641269940735
"Nr2e3",4.13495907398143,4.45821774830795,4.14485306329129,4.26661830683495,4.64685798632691
"Naalad2",4.09582424685593,5.39285151237691,5.4319939660687,4.29560819526377,5.33605515844292
"Naaladl1",5.38227622569147,5.79645562102461,5.60977810756472,5.45231353165865,5.77507058458796
"Cdkn2b-as1",4.2089708687823,4.15003033263463,4.10384146709786,3.88963395645092,4.0033724003422
"Acot8",6.99505116729512,6.39317505697863,6.40149828410057,6.55569476619145,6.69287997046323
"Abi1",9.51055250612576,9.12496360595304,9.27252421047797,8.77093959071522,8.71549830265032
"Gnpda1",7.76873320428357,8.04319209161667,8.02794704928719,7.92079242188824,7.85704374802099
"Zbtb33",6.30975129406906,6.59126800959538,6.39856388781663,6.27328237178084,6.36778642764224
"Cdh3",4.83549000100077,5.03464159042699,4.81012118831906,5.08946053281691,4.94320512149011
"Tank",8.40071735104717,7.44833114022579,7.68383960099483,7.23018847486365,7.41312645526885
"Hgc6.3",4.62126258356374,4.84905143034636,4.70581129406596,4.66008616768673,4.72423795577216
"Khdc1l",3.94914347559826,3.75583140141389,3.69644256865089,3.99362449512302,3.50227954694407
"C1orf68",4.55148309924167,4.84511855912819,4.8459940982784,4.81231237642572,4.77596621435519
"Loc100129503",5.27831407143336,5.18203129135896,5.4232269522844,5.30371604380147,5.45138873178888
"Hdac6",6.69486755715469,6.7526423518312,6.92020058929839,6.84473615620428,7.02147074334079
"Armcx4",4.27874192182808,4.88492912491227,4.83025269969342,4.53133775074277,4.6728493803641
"Krtap4-7",3.40406558227371,3.50763969772589,3.39327913712999,3.50227954694407,3.50045042670262
"Jmjd7",6.10589215115334,5.94443759232711,6.11504949423304,6.08084050832712,6.38194350751778
"Hdac5",7.05663116535146,6.31511142296089,6.44212737814573,6.65859754052019,6.89198175116358
"Pdcd6ip",8.88395155410172,9.1893669616163,9.14880931453411,8.6215405414498,8.88309088592858
"Pdcd6",9.16996988118525,9.20068868430567,9.44381687047625,8.64215921590918,9.07155077558689
"Bcl2l10",4.5398455703728,4.53895031591975,4.55013932318826,4.45230306755486,4.69660092536196
"Bcl2l11",5.06908870920302,4.97744782940877,5.05404875316625,4.88055183821697,5.02052779517017
"Tomm6",10.0173061149976,10.1537091460367,10.2723395850975,10.3670357755223,10.54719312479
"Sh2b3",10.2400587111908,9.95741682249979,9.79766448786667,9.85906599705676,9.56331698976698
"Cdh4",4.31664371191008,4.44409459447329,4.60219854177614,4.39954640337153,4.3810143623207
"Gne",6.98946607334135,8.06833163150529,7.97604931752428,7.22863397602285,8.01156247215423
"Hcn4",4.58489627077378,4.56665828722875,4.61816068789782,4.45184429663459,4.67109316868741
"Insl5",4.23034290498584,4.13130063258469,4.34830316289379,4.18076765732061,4.17873722169268
"Frat1",9.35122138686948,5.86457364809781,5.86934552546305,5.65726527570002,5.89321890427786
"Troap",5.22372042667879,4.93004026918051,5.13784316695954,5.40480228631791,5.07661439289681
"Med16",6.93331811953468,6.24366496500696,6.10444312701883,6.72121886876586,6.6844274852378
"Pigk",7.60254658270824,8.61243621862091,8.52345200787273,7.93614162626385,8.30429716816509
"Timm23",8.20029043964982,8.48448520571216,8.67930270773351,9.10634123711455,8.84472324415831
"Ervmer34-1",4.31996747122777,4.30854054875152,4.12185050579099,4.20997360150908,4.02155363398322
"Znf587b",5.99428037682461,6.30487749172728,6.50299728281344,6.25578898990349,6.36631905385845
"Cdh5",7.97364436956181,9.08114624620981,8.90647811044083,8.89951808943922,9.49172073817893
"Chaf1a",5.70493844661516,5.25118147637383,5.4375271265325,5.72763535137039,5.598039691441
"Parp2",6.6169732222033,7.88789464639488,7.87737744820932,7.58118358012101,7.65327987480478
"Parp3",5.97126754572332,5.78506318991357,5.67517399874315,5.64879565839319,5.71628637031075
"Cdh6",4.4235057595845,5.17354236676737,5.20218426641935,4.72599349035411,4.88536596242698
"Tom1l1",5.50559552962755,6.1068516895593,5.83311427205251,5.19994330738822,6.33069466308197
"Hmgxb4",7.44887043912877,7.8587871234747,7.69388743651701,7.71290569095862,7.8960977541767
"Tom1",6.79311702061315,5.87889478343233,5.85408783658883,6.50250552214079,6.40394286290635
"Sh2d3a",4.20195934928148,4.09153076260416,3.73169842509578,4.0709608611041,3.97448432559517
"Mamld1",5.69501852440746,6.4966052886769,6.57346670355106,5.97989244337214,5.79930978546954
"Cst8",4.77421052945109,4.85910074568339,4.67637306292868,4.62965377043726,4.58489627077378
"Ranbp9",8.07387050713904,8.64215921590918,8.69416315954186,8.0664880369008,8.08683493882605
"Dnajb6",8.71867054395726,8.28569892334494,8.40141372309573,8.9082177293976,8.2870171817007
"Cdh7",4.34501081621384,4.34501081621384,4.30327514557704,4.26904809447028,4.05062419679953
"Slc17a4",4.13130063258469,4.3884482998381,4.80093381261325,4.35300456718838,4.38427514180816
"Kif25-as1",4.0033724003422,3.93233466375672,3.90034570423137,3.97972150996646,4.2159627783714
"Tmem35b",8.50315966661025,9.17301144306578,9.0356052182444,8.05482891978657,8.8650828535184
"Loc100506358",3.95389479169594,3.98669384358629,3.8921674589827,3.69733387867491,3.73743733819581
"Mica",7.43603158522187,7.94800300196262,8.02309228420476,7.70506192835741,7.87563724571664
"Smc4",7.91726471217965,8.38415896894746,8.47589565263118,8.17089925209907,8.01824314935834
"Gjc1",4.77333781345954,5.98853037242801,6.13243057931671,6.27571128282916,5.95114162274734
"Ap1m2",5.59991741304382,5.10230948488058,5.3264733597291,5.42922334354246,5.07572968666134
"Uba2",10.5880716891354,11.5606943404325,11.4925408576676,11.2898104940902,11.7563522021381
"Sae1",7.77669547992169,8.0285562701576,8.27776145220163,8.5689711181207,8.23585357715572
"Abcc5",7.51115559427884,7.52520415161604,7.50684265478548,7.56809038208693,7.21772729507147
"Abcb6",6.42498262305881,6.41421045855997,6.55915306015888,7.22396013586952,7.19493301522617
"Dnm1l",8.30496275307384,8.59586881198408,8.70836662863014,8.59511834233639,8.48591822703495
"Cdh8",3.86127220829818,3.87557851502149,3.99535326683633,3.85268384319101,3.97273339749387
"Abcc9",4.06219114746718,5.60837113693446,5.45277755443624,4.86741961887522,5.25795858239137
"Abcf2",5.65115009832285,5.61728841774973,5.60695922888976,5.74944775164424,5.69407321301062
"Nr1h3",6.95201138682725,6.62985371020661,6.97985712262599,6.37363474813092,8.10296152708269
"Scamp2",7.93970255727483,7.58665247633787,7.63667896903736,7.82646735455231,7.6527276784158
"Scamp3",7.7761296715533,7.34426193955547,7.60144388946329,8.0109566494789,7.74159582268613
"Rwdd2b",7.29646475222255,8.13549026252323,8.0450232063206,7.9958657623534,8.14745966336877
"Cdh9",3.76207397971507,3.80305766526993,3.57947932768863,3.55499882585454,3.74712261812525
"Dpp3",6.84122167311219,6.6263945528221,6.55470679037481,7.19441541763424,6.70779898680221
"Snupn",7.42643657445008,8.05298341998284,8.0609530945486,8.10420767329619,8.25214720458599
"Huwe1",5.92384575070979,5.92336767334662,5.9104560129515,5.76416356672157,5.91906541282441
"Ptpru",6.24560166044049,5.85122689994671,5.72054115081157,5.68650449154732,5.98085408240992
"Tspan32",6.03657685613095,4.98052143736513,5.11740291479867,5.19814972939115,5.16058395774599
"Tssc4",6.75114806446013,6.35655497043921,6.52513955315578,7.05254823581798,7.05918513903832
"Atp9a",7.82302109094989,8.17407793162284,8.19772760663189,7.26300424009059,9.03654168261311
"Cdh10",3.90967940313415,3.96334972672058,3.99016546923191,3.78332140885033,4.08991659709404
"Ush1c",4.60397285387645,4.6340659091715,4.74442599406381,4.7667732061329,4.57823186974362
"Pqbp1",7.27292384178431,6.76263050491534,7.04796153684172,7.46491761520535,7.51709129068359
"Edil3",4.96646806267698,5.94348036455103,5.80074238303229,5.61541161396419,5.11385570082323
"Hhla1",4.99193260800655,4.95153132644828,5.08901600357702,5.08857501031187,5.11962359979042
"Tmem265",6.10637250567777,5.88223335134197,6.01109754511951,5.89656155267,5.89991019302217
"Col4a3bp",8.91432057319556,8.51834390425884,8.46807135694733,8.14304024765352,8.94790056023624
"Kcnk7",5.13917976456149,4.88405277664867,4.8958729661349,4.79218117565672,4.98842442845452
"Cdh11",8.05543852869438,9.46330026240426,9.01514223091996,8.58837680879725,7.49821990417279
"Ust",5.17979267851258,5.80502476073942,5.97509847771618,5.21024082856491,5.44352476845333
"Arpc5",11.4628904228268,10.8317505170478,10.9628903982609,10.4171079581428,10.3301619333299
"Arpc4",8.68086714647209,7.28284820956692,7.36854263547267,7.75969002210033,7.5534163393588
"Arpc1b",12.0632980093591,10.6920265881697,10.6770829089443,11.3783424217384,10.5908493653086
"Actr3",9.93688146876397,9.44381687047625,9.71089599446668,9.50425274670417,8.96222303940368
