"","Tissue","Disease","Mast cells","Macrophages M2","NK cells activated","T cells CD8"
"GSM494796","Adipose","HIV infection",8.118013,23.1417612,2.2797415,5.5541745
"GSM494797","Adipose","HIV infection",4.7018756,16.420609,4.7978946,7.0675173
"GSM494798","Adipose","HIV infection",9.3778233,23.6033034,6.7324257,6.5248782
"GSM494799","Adipose","HIV infection",10.5670423,25.5747018,9.4073826,8.1699104
"GSM494800","Adipose","HIV infection",13.0112237,30.0025587,12.8866851,13.8458908
"GSM494801","Adipose","HIV infection",6.8748935,25.9413209,2.1594619,7.3645855
"GSM494802","Adipose","HIV infection",3.6896877,25.9241407,3.0715589,0.7675151
"GSM646776","Pericardial adipose tissue","Cardiovascular disease",2.6292808,9.5677142,10.5480277,3.7953329
"GSM646777","Pericardial adipose tissue","Cardiovascular disease",11.3486111,7.301104,22.1634303,8.037732
"GSM646779","Pericardial adipose tissue","Cardiovascular disease",24.1647809,8.5920973,10.9674643,5.9529706
"GSM646780","Pericardial adipose tissue","Cardiovascular disease",11.8475795,28.4488605,12.3511166,0
"GSM646782","Pericardial adipose tissue","Cardiovascular disease",5.8406165,3.6253409,7.682372,0
"GSM646784","Pericardial adipose tissue","Cardiovascular disease",5.3195243,7.6642935,9.1081702,1.7447035
"GSM646786","Pericardial adipose tissue","Cardiovascular disease",15.4269001,27.8616262,16.49443,0
"GSM646787","Pericardial adipose tissue","Cardiovascular disease",14.8856728,21.730332,12.4108299,0
"GSM646789","Pericardial adipose tissue","Cardiovascular disease",14.1579307,14.2037315,11.8750403,0
"GSM646792","Pericardial adipose tissue","Cardiovascular disease",6.0585517,21.9858371,21.1689649,0
"GSM646794","Pericardial adipose tissue","Cardiovascular disease",5.7626781,33.1139487,19.7022075,10.5715577
"GSM646774","Subcutaneous adipose tissue","Cardiovascular disease",11.6177586,39.1131534,8.5077704,2.9971944
"GSM646775","Subcutaneous adipose tissue","Cardiovascular disease",7.8205903,27.5319254,11.8703292,3.8284844
"GSM646778","Subcutaneous adipose tissue","Cardiovascular disease",22.1007726,16.3202911,12.9879778,3.2648647
"GSM646783","Subcutaneous adipose tissue","Cardiovascular disease",2.1046559,9.4999563,1.4689703,0
"GSM646785","Subcutaneous adipose tissue","Cardiovascular disease",13.7996464,15.3466703,13.0914409,0
"GSM646790","Subcutaneous adipose tissue","Cardiovascular disease",6.2049313,14.6615938,20.6011264,0
"GSM646791","Subcutaneous adipose tissue","Cardiovascular disease",14.221676,28.5070515,18.1893125,0.1751326
"GSM646793","Subcutaneous adipose tissue","Cardiovascular disease",19.0283942,24.5184848,16.5207926,3.8178116
"GSM988656","Visceral adipose tissue","Coronary and carotid artery disease",6.2865378,16.5683755,5.076496,13.8938379
"GSM988659","Visceral adipose tissue","Coronary and carotid artery disease",11.7251722,14.0191835,0,7.4526388
"GSM988662","Visceral adipose tissue","Coronary and carotid artery disease",14.4980336,21.1378632,3.7017248,10.5777129
"GSM988665","Visceral adipose tissue","Coronary and carotid artery disease",7.8919937,14.7315342,0,16.8294339
"GSM988671","Visceral adipose tissue","Coronary and carotid artery disease",14.682611,21.1157748,2.9038251,7.8799283
"GSM988676","Visceral adipose tissue","Coronary and carotid artery disease",3.4451929,18.6155691,6.1747554,9.2911345
