GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM76969,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76970,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76971,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76972,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76973,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76974,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76975,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76976,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76977,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76978,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76979,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76981,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76982,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76983,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76984,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76985,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76986,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76987,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76988,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76989,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76990,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76992,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,SCID
GSM76993,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76994,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM76995,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Helminth infection,,Helminth infection,Wild type
GSM1654779,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Pneumocystis infection,,Pneumocystis infection,CD40L KO
GSM1654780,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Pneumocystis infection,,Pneumocystis infection,CD40L KO
GSM1654781,Lung,Lung,,Lung,Certain infectious or parasitic diseases,Pneumocystis infection,,Pneumocystis infection,CD40L KO
GSM902514,Skin,Skin,,Skin,Certain infectious or parasitic diseases,S. aureus infection,,S. aureus infection,Wild type
GSM902515,Skin,Skin,,Skin,Certain infectious or parasitic diseases,S. aureus infection,,S. aureus infection,Wild type
GSM902516,Skin,Skin,,Skin,Certain infectious or parasitic diseases,S. aureus infection,,S. aureus infection,Wild type
GSM902520,Skin,Skin,,Skin,Certain infectious or parasitic diseases,S. aureus infection,,S. aureus infection,IL-1R KO
