"","B cell","Dendritic cell","Macrophage","Neutrophil","NK cell","T cell","Basophil","Monocyte"
"2010016I18Rik",0,3.44827586206897,0,0,0,0,0,0
"A630023P12Rik",0,0,1.17370892018779,0,0,7.5,0,0
"AI839979",0,8.62068965517241,2.34741784037559,57.1428571428571,0,5,42.9799426934097,187.845303867403
"Adgre1",196.319018404908,131.034482758621,893.974960876369,200,58.8235294117647,150,5.73065902578797,60.7734806629834
"Alox15",0,3.44827586206897,10.5633802816901,28.5714285714286,0,0,0,0
"Blk",42.9447852760736,5.17241379310345,3.52112676056338,0,0,0,2.86532951289398,0
"Bmx",0,1.72413793103448,0,0,0,0,22.9226361031519,33.1491712707182
"Btla",55.2147239263804,65.5172413793103,15.6494522691706,0,0,20,2.86532951289398,27.6243093922652
"C1rl",6.13496932515337,1.72413793103448,9.78090766823161,0,0,5,65.9025787965616,60.7734806629834
"Ccl22",36.8098159509202,332.758620689655,35.9937402190923,0,0,12.5,0,0
"Ccl4",153.374233128834,710.344827586207,755.868544600939,657.142857142857,1000,525,189.111747851003,27.6243093922652
"Ccl5",196.319018404908,287.931034482759,155.320813771518,342.857142857143,2352.94117647059,2627.5,42.9799426934097,22.0994475138122
"Ccr3",0,8.62068965517241,14.4757433489828,28.5714285714286,0,5,2.86532951289398,0
"Ccr7",588.957055214724,889.655172413793,90.3755868544601,114.285714285714,58.8235294117647,150,2.86532951289398,0
"Cd163l1",0,0,0,0,0,5,0,0
"Cd177",12.2699386503067,3.44827586206897,3.52112676056338,142.857142857143,0,0,1355.30085959885,55.2486187845304
"Cd19",153.374233128834,12.0689655172414,7.82472613458529,28.5714285714286,0,2.5,5.73065902578797,0
"Cd200r3",0,1.72413793103448,0,0,0,0,45.8452722063037,5.52486187845304
"Cd200r4",6.13496932515337,1.72413793103448,12.9107981220657,0,58.8235294117647,40,8.59598853868195,5.52486187845304
"Cd22",55.2147239263804,1.72413793103448,18.7793427230047,0,0,7.5,0,0
"Cd27",12.2699386503067,8.62068965517241,9.78090766823161,0,117.647058823529,112.5,14.3266475644699,11.0497237569061
"Cd300ld",92.0245398773006,65.5172413793103,478.48200312989,200,0,120,14.3266475644699,11.0497237569061
"Cd3d",73.6196319018405,75.8620689655172,50.4694835680751,85.7142857142857,117.647058823529,390,8.59598853868195,5.52486187845304
"Cd3e",0,10.3448275862069,8.99843505477308,0,0,57.5,0,0
"Cd3g",12.2699386503067,44.8275862068965,30.9076682316119,28.5714285714286,588.235294117647,390,14.3266475644699,0
"Cd4",0,20.6896551724138,7.43348982785602,0,0,25,0,0
"Cd40",55.2147239263804,29.3103448275862,44.6009389671362,0,0,15,0,16.5745856353591
"Cd5",6.13496932515337,8.62068965517241,3.52112676056338,28.5714285714286,58.8235294117647,25,0,0
"Cd6",6.13496932515337,10.3448275862069,10.9546165884194,57.1428571428571,117.647058823529,137.5,0,0
"Cd7",49.079754601227,155.172413793103,42.2535211267606,57.1428571428571,470.588235294118,400,31.5186246418338,55.2486187845304
"Cd79a",288.343558282209,5.17241379310345,6.25978090766823,0,0,7.5,34.3839541547278,44.1988950276243
"Cd79b",374.233128834356,13.7931034482759,32.4726134585289,28.5714285714286,0,22.5,25.7879656160458,49.7237569060773
"Cd83",171.779141104294,775.862068965517,818.466353677621,28.5714285714286,58.8235294117647,80,0,5.52486187845304
"Cd8a",6.13496932515337,50,11.3458528951487,0,0,75,0,0
"Cd8b1",6.13496932515337,39.6551724137931,7.82472613458529,57.1428571428571,58.8235294117647,35,5.73065902578797,11.0497237569061
