"","B cell","Dendritic cell","Eosinophils","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",1.02040816326531,2.43013365735115,0,0.835421888053467,0,0,2.9940119760479,1.62337662337662,0
"A630023P12Rik",5.10204081632653,3.64520048602673,0,3.34168755221387,0,4.149377593361,5.98802395209581,21.1038961038961,0
"AI839979",1.02040816326531,12.1506682867558,0,13.3667502088555,90.9090909090909,16.597510373444,0,1.62337662337662,42.9799426934097
"Adgre1",13.265306122449,36.4520048602673,10.1010101010101,149.540517961571,0,8.29875518672199,8.98203592814371,3.24675324675325,5.73065902578797
"Alox15",0,1.21506682867558,0,0,0,0,2.9940119760479,0,0
"Blk",75.5102040816327,8.50546780072904,10.1010101010101,3.34168755221387,0,8.29875518672199,8.98203592814371,4.87012987012987,2.86532951289398
"Bmx",1.02040816326531,3.64520048602673,30.3030303030303,15.0375939849624,0,37.344398340249,0,0,22.9226361031519
"Btla",58.1632653061224,44.9574726609964,20.2020202020202,10.8604845446951,0,24.896265560166,14.9700598802395,21.1038961038961,2.86532951289398
"C1rl",0,3.64520048602673,0,20.0501253132832,0,0,0,1.62337662337662,65.9025787965616
"Ccl22",6.12244897959184,483.59659781288,0,10.0250626566416,0,20.746887966805,11.9760479041916,4.87012987012987,0
"Ccl4",79.5918367346939,1193.19562575942,676.767676767677,498.74686716792,181.818181818182,1307.05394190871,799.40119760479,125,189.111747851003
"Ccl5",180.612244897959,324.422843256379,141.414141414141,76.0233918128655,0,253.112033195021,9164.67065868263,1271.1038961039,42.9799426934097
"Ccr3",0,0,10.1010101010101,0,0,0,0,0,2.86532951289398
"Ccr7",467.34693877551,256.379100850547,131.313131313131,59.3149540517962,0,107.883817427386,89.8203592814371,381.493506493507,2.86532951289398
"Cd163l1",0,1.21506682867558,0,0.835421888053467,0,0,0,6.49350649350649,0
"Cd177",3.06122448979592,7.29040097205346,0,30.9106098579783,272.727272727273,153.526970954357,11.9760479041916,1.62337662337662,1355.30085959885
"Cd19",293.877551020408,17.0109356014581,50.5050505050505,25.062656641604,90.9090909090909,45.6431535269709,44.9101796407186,17.8571428571429,5.73065902578797
"Cd200r3",2.04081632653061,1.21506682867558,0,0.835421888053467,0,24.896265560166,0,1.62337662337662,45.8452722063037
"Cd200r4",2.04081632653061,3.64520048602673,0,51.796157059315,0,4.149377593361,5.98802395209581,4.87012987012987,8.59598853868195
"Cd22",95.9183673469388,7.29040097205346,0,29.2397660818713,0,8.29875518672199,8.98203592814371,8.11688311688312,0
"Cd27",14.2857142857143,3.64520048602673,10.1010101010101,4.17710944026734,90.9090909090909,8.29875518672199,50.8982035928144,82.7922077922078,14.3266475644699
"Cd300ld",23.469387755102,68.0437424058323,222.222222222222,84.3776106934002,0,439.834024896266,20.9580838323353,9.74025974025974,14.3266475644699
"Cd3d",74.4897959183673,44.9574726609964,20.2020202020202,25.062656641604,0,62.2406639004149,161.676646706587,571.428571428571,8.59598853868195
"Cd3e",10.2040816326531,3.64520048602673,0,4.17710944026734,0,16.597510373444,26.9461077844311,97.4025974025974,0
"Cd3g",39.7959183673469,30.3766707168894,40.4040404040404,23.3918128654971,0,20.746887966805,92.814371257485,422.077922077922,14.3266475644699
"Cd4",7.14285714285714,1.21506682867558,0,12.531328320802,0,0,0,40.5844155844156,0
"Cd40",34.6938775510204,24.3013365735115,10.1010101010101,7.5187969924812,0,4.149377593361,5.98802395209581,0,0
"Cd5",2.04081632653061,2.43013365735115,10.1010101010101,1.67084377610693,0,0,0,55.1948051948052,0
"Cd6",11.2244897959184,2.43013365735115,10.1010101010101,3.34168755221387,0,8.29875518672199,11.9760479041916,64.9350649350649,0
"Cd7",11.2244897959184,75.3341433778858,0,10.8604845446951,272.727272727273,8.29875518672199,242.51497005988,125,31.5186246418338
"Cd79a",1257.14285714286,105.710814094775,262.626262626263,81.8713450292398,0,195.020746887967,125.748502994012,55.1948051948052,34.3839541547278
"Cd79b",946.938775510204,102.065613608748,212.121212121212,82.7067669172932,90.9090909090909,224.066390041494,131.736526946108,66.5584415584416,25.7879656160458
"Cd83",369.387755102041,1453.21992709599,121.212121212121,568.922305764411,90.9090909090909,112.033195020747,116.766467065868,68.1818181818182,0
"Cd8a",15.3061224489796,8.50546780072904,10.1010101010101,3.34168755221387,0,16.597510373444,44.9101796407186,188.311688311688,0
"Cd8b1",26.530612244898,10.9356014580802,80.8080808080808,14.2021720969089,0,29.045643153527,71.8562874251497,472.402597402597,5.73065902578797
"Clec2g",1.02040816326531,0,0,0.835421888053467,0,0,0,0,0
"Clec4a3",18.3673469387755,128.797083839611,10.1010101010101,284.043441938179,181.818181818182,41.49377593361,29.940119760479,8.11688311688312,2.86532951289398
"Clec4e",34.6938775510204,100.850546780073,585.858585858586,131.161236424394,90.9090909090909,937.759336099585,53.8922155688623,34.0909090909091,71.6332378223496
"Clec5a",2.04081632653061,10.9356014580802,0,21.7209690893901,90.9090909090909,20.746887966805,0,3.24675324675325,169.054441260745
"Cma1",13.265306122449,12.1506682867558,20.2020202020202,6.68337510442774,0,24.896265560166,248.502994011976,9.74025974025974,0
"Ctsw",55.1020408163265,47.3876063183475,121.212121212121,26.7335004177109,90.9090909090909,58.0912863070539,502.994011976048,206.168831168831,0
"Cxcl2",50,247.873633049818,3070.70707070707,1206.34920634921,181.818181818182,4585.0622406639,50.8982035928144,22.7272727272727,11.4613180515759
"Cxcl3",0,1.21506682867558,10.1010101010101,12.531328320802,0,16.597510373444,0,1.62337662337662,0
"Cxcr2",0,2.43013365735115,20.2020202020202,4.17710944026734,0,103.734439834025,2.9940119760479,0,80.2292263610315
"Cxcr6",4.08163265306122,6.07533414337789,0,3.34168755221387,0,4.149377593361,32.934131736527,66.5584415584416,0
"Dpep2",11.2244897959184,80.1944106925881,10.1010101010101,148.705096073517,0,12.448132780083,5.98802395209581,11.3636363636364,0
"Ear1",26.530612244898,25.5164034021871,50.5050505050505,645.78111946533,0,33.195020746888,29.940119760479,17.8571428571429,2.86532951289398
"Ear2",101.020408163265,336.573511543135,121.212121212121,1725.98162071846,0,70.5394190871369,83.8323353293413,51.948051948052,108.882521489971
"F630040K05Rik",0,2.43013365735115,0,0,0,0,0,0,0
"F730016J06Rik",0,0,0,0,0,0,0,0,11.4613180515759
