"","B cell","Dendritic cell","Macrophage","Mast cell","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"2010016I18Rik",0,0,0,0,2.58397932816537,2.76625172890733,0,0,1.08342361863489
"A630023P12Rik",2.36127508854782,0,1.17370892018779,0,12.9198966408269,11.0650069156293,0,0,2.16684723726977
"AI839979",0,4.18410041841004,2.34741784037559,0,0,0,42.9799426934097,187.845303867403,25.4604550379198
"Adgre1",5.90318772136954,37.6569037656904,285.211267605634,0,7.75193798449612,1.38312586445367,5.73065902578797,60.7734806629834,8.12567713976165
"Alox15",0,0,0,0,0,0,0,0,9.20910075839653
"Blk",22.4321133412042,0,3.52112676056338,0,2.58397932816537,8.29875518672199,2.86532951289398,0,14.626218851571
"Bmx",0,0,1.17370892018779,0,0,0,22.9226361031519,33.1491712707182,63.9219934994583
"Btla",33.0578512396694,58.5774058577406,23.4741784037559,0,12.9198966408269,34.5781466113416,2.86532951289398,27.6243093922652,15.7096424702058
"C1rl",0,0,5.86854460093897,0,2.58397932816537,0,65.9025787965616,60.7734806629834,51.4626218851571
"Ccl22",5.90318772136954,924.686192468619,18.7793427230047,0,2.58397932816537,4.149377593361,0,0,0
"Ccl4",21.2514757969303,414.225941422594,826.291079812207,272.727272727273,183.462532299742,70.5394190871369,189.111747851003,27.6243093922652,24.9187432286024
"Ccl5",205.43093270366,4786.61087866109,170.18779342723,90.9090909090909,2669.25064599483,1585.0622406639,42.9799426934097,22.0994475138122,93.7161430119177
"Ccr3",0,0,3.52112676056338,0,0,0,2.86532951289398,0,4.33369447453954
"Ccr7",279.811097992916,2033.47280334728,86.8544600938967,181.818181818182,638.242894056847,717.842323651452,2.86532951289398,0,57.9631635969664
"Cd163l1",8.26446280991736,0,0,0,2.58397932816537,6.91562932226833,0,0,0
"Cd177",0,0,0,0,0,0,1355.30085959885,55.2486187845304,660.888407367281
"Cd19",79.1027154663518,16.7364016736402,10.5633802816901,0,5.16795865633075,12.448132780083,5.73065902578797,0,38.4615384615385
"Cd200r3",0,0,1.17370892018779,181.818181818182,0,0,45.8452722063037,5.52486187845304,14.0845070422535
"Cd200r4",0,0,3.52112676056338,0,7.75193798449612,5.53250345781466,8.59598853868195,5.52486187845304,2.16684723726977
"Cd22",29.5159386068477,0,30.5164319248826,90.9090909090909,2.58397932816537,8.29875518672199,0,0,14.0845070422535
"Cd27",18.8902007083825,20.9205020920502,10.5633802816901,90.9090909090909,160.206718346253,147.994467496542,14.3266475644699,11.0497237569061,18.4182015167931
"Cd300ld",0,8.36820083682008,102.112676056338,0,0,4.149377593361,14.3266475644699,11.0497237569061,138.678223185265
"Cd3d",107.438016528926,58.5774058577406,75.1173708920188,545.454545454545,599.483204134367,864.453665283541,8.59598853868195,5.52486187845304,78.0065005417118
"Cd3e",10.6257378984652,12.5523012552301,10.5633802816901,0,77.5193798449612,134.163208852006,0,0,7.5839653304442
"Cd3g",47.2255017709563,50.2092050209205,17.6056338028169,90.9090909090909,255.813953488372,419.087136929461,14.3266475644699,0,39.0032502708559
