"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"2010016I18Rik",1.11028867505551,0,0,2.9585798816568,0,0,0,1.08342361863489
"A630023P12Rik",4.81125092524056,5.31914893617021,0,13.3136094674556,8.63509749303621,0,0,2.16684723726977
"AI839979",0.370096225018505,10.6382978723404,7.93650793650794,1.4792899408284,0,42.9799426934097,187.845303867403,25.4604550379198
"Adgre1",11.1028867505551,26.5957446808511,706.349206349206,8.87573964497041,17.2701949860724,5.73065902578797,60.7734806629834,8.12567713976165
"Alox15",8.14211695040711,26.5957446808511,7.93650793650794,5.91715976331361,5.01392757660167,0,0,9.20910075839653
"Blk",29.6076980014804,15.9574468085106,7.93650793650794,13.3136094674556,11.142061281337,2.86532951289398,0,14.626218851571
"Bmx",0,0,0,0,0,22.9226361031519,33.1491712707182,63.9219934994583
"Btla",42.5610658771281,31.9148936170213,47.6190476190476,44.3786982248521,24.2339832869081,2.86532951289398,27.6243093922652,15.7096424702058
"C1rl",0.370096225018505,0,7.93650793650794,0,0.278551532033426,65.9025787965616,60.7734806629834,51.4626218851571
"Ccl22",25.5366395262768,765.957446808511,15.8730158730159,17.7514792899408,18.6629526462396,0,0,0
"Ccl4",229.459659511473,1505.31914893617,2666.66666666667,863.905325443787,259.888579387187,189.111747851003,27.6243093922652,24.9187432286024
"Ccl5",913.39748334567,7361.70212765957,944.444444444444,4091.71597633136,1215.87743732591,42.9799426934097,22.0994475138122,93.7161430119177
"Ccr7",562.546262028127,1872.34042553191,301.587301587302,551.775147928994,503.621169916435,2.86532951289398,0,57.9631635969664
"Cd163l1",1.11028867505551,0,0,13.3136094674556,1.1142061281337,0,0,0
"Cd177",1.48038490007402,5.31914893617021,0,2.9585798816568,0,1355.30085959885,55.2486187845304,660.888407367281
"Cd19",185.418208734271,74.468085106383,79.3650793650794,50.2958579881657,51.2534818941504,5.73065902578797,0,38.4615384615385
"Cd200r3",1.48038490007402,0,7.93650793650794,0,1.39275766016713,45.8452722063037,5.52486187845304,14.0845070422535
"Cd200r4",3.33086602516654,10.6382978723404,47.6190476190476,13.3136094674556,5.01392757660167,8.59598853868195,5.52486187845304,2.16684723726977
"Cd22",68.8378978534419,21.2765957446809,23.8095238095238,22.189349112426,21.1699164345404,0,0,14.0845070422535
"Cd27",40.7105847520355,10.6382978723404,23.8095238095238,208.579881656805,86.908077994429,14.3266475644699,11.0497237569061,18.4182015167931
"Cd300ld",3.33086602516654,5.31914893617021,150.793650793651,7.39644970414201,5.01392757660167,14.3266475644699,11.0497237569061,138.678223185265
"Cd3d",419.689119170984,351.063829787234,420.634920634921,1788.46153846154,701.671309192201,8.59598853868195,5.52486187845304,78.0065005417118
"Cd3e",72.9089563286454,63.8297872340425,95.2380952380952,307.692307692308,127.576601671309,0,0,7.5839653304442
"Cd3g",189.859363434493,143.617021276596,142.857142857143,1103.55029585799,368.245125348189,14.3266475644699,0,39.0032502708559
"Cd4",22.5758697261288,31.9148936170213,95.2380952380952,130.177514792899,41.5041782729805,0,0,2.16684723726977
"Cd40",48.8527017024426,250,182.539682539683,23.6686390532544,21.7270194986072,0,16.5745856353591,1.62513542795233
"Cd5",13.3234641006662,21.2765957446809,31.7460317460317,199.704142011834,53.4818941504178,0,0,2.16684723726977
"Cd6",27.7572168763879,31.9148936170213,23.8095238095238,167.159763313609,49.8607242339833,0,0,5.95882990249187
"Cd7",41.080680977054,106.382978723404,39.6825396825397,279.585798816568,68.5236768802229,31.5186246418338,55.2486187845304,14.0845070422535
"Cd79a",229.829755736491,15.9574468085106,39.6825396825397,38.4615384615385,46.2395543175487,34.3839541547278,44.1988950276243,101.841820151679
"Cd79b",330.125832716506,79.7872340425532,119.047619047619,112.426035502959,110.863509749304,25.7879656160458,49.7237569060773,104.550379198267
"Cd83",454.848260547742,1547.87234042553,1031.74603174603,208.579881656805,169.91643454039,0,5.52486187845304,8.12567713976165
"Cd8a",105.847520355292,148.936170212766,95.2380952380952,618.343195266272,198.607242339833,0,0,22.7518959913326
"Cd8b1",131.014063656551,154.255319148936,134.920634920635,875.739644970414,326.183844011142,5.73065902578797,11.0497237569061,62.296858071506
"Clec2g",0.370096225018505,0,0,0,0,0,0,0
"Clec4a3",16.2842339008142,31.9148936170213,420.634920634921,23.6686390532544,22.0055710306407,2.86532951289398,127.07182320442,29.2524377031419
"Clec4e",10.7327905255366,5.31914893617021,71.4285714285714,10.3550295857988,5.57103064066852,71.6332378223496,16.5745856353591,235.10292524377
"Clec5a",2.59067357512953,0,95.2380952380952,4.43786982248521,3.06406685236769,169.054441260745,99.4475138121547,116.46803900325
"Cma1",35.899333826795,37.2340425531915,39.6825396825397,39.9408284023669,33.983286908078,0,0,4.87540628385699
"Ctsw",114.359733530718,111.702127659574,142.857142857143,541.420118343195,168.802228412256,0,0,29.2524377031419
"Cxcl2",107.698001480385,170.212765957447,4626.98412698413,82.8402366863905,107.242339832869,11.4613180515759,0,49.8374864572048
"Cxcl3",0,10.6382978723404,23.8095238095238,0,0.835654596100278,0,0,0
"Cxcr2",0,0,0,2.9585798816568,0.557103064066852,80.2292263610315,11.0497237569061,308.775731310943
"Cxcr6",12.9533678756477,10.6382978723404,15.8730158730159,176.03550295858,18.941504178273,0,0,4.33369447453954
