"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"2010016I18Rik",0,0,0,0.747384155455904,0,1.08342361863489,0,8.90207715133531
"A630023P12Rik",5.36672629695885,0,0,2.98953662182362,0,2.16684723726977,2.85714285714286,14.2433234421365
"AI839979",11.329755515802,42.9799426934097,9.9009900990099,56.8011958146487,187.845303867403,25.4604550379198,2.85714285714286,0.593471810089021
"Adgre1",9.54084675014908,5.73065902578797,9.9009900990099,82.9596412556054,60.7734806629834,8.12567713976165,2.85714285714286,0.593471810089021
"Alox15",0,0,0,0.747384155455904,0,9.20910075839653,2.85714285714286,0
"Blk",124.627310673822,2.86532951289398,39.6039603960396,14.9476831091181,0,14.626218851571,25.7142857142857,13.0563798219585
"Bmx",5.96302921884317,22.9226361031519,9.9009900990099,17.1898355754858,33.1491712707182,63.9219934994583,2.85714285714286,2.37388724035608
"Btla",127.608825283244,2.86532951289398,39.6039603960396,41.1061285500747,27.6243093922652,15.7096424702058,31.4285714285714,40.9495548961424
"C1rl",2.38521168753727,65.9025787965616,9.9009900990099,18.6846038863976,60.7734806629834,51.4626218851571,0,0.593471810089021
"Ccl22",0,0,0,0,0,0,0,0
"Ccl4",8.34824090638044,189.111747851003,138.613861386139,16.4424514200299,27.6243093922652,24.9187432286024,234.285714285714,8.90207715133531
"Ccl5",137.745974955277,42.9799426934097,148.514851485149,216.741405082212,22.0994475138122,93.7161430119177,10802.8571428571,1337.09198813056
"Ccr3",0,2.86532951289398,0,4.48430493273543,0,4.33369447453954,0,2.37388724035608
"Ccr7",358.974358974359,2.86532951289398,59.4059405940594,75.4857997010463,0,57.9631635969664,117.142857142857,598.219584569733
"Cd163l1",1.19260584376863,0,9.9009900990099,0,0,0,2.85714285714286,4.74777448071217
"Cd177",13.118664281455,1355.30085959885,29.7029702970297,90.4334828101644,55.2486187845304,660.888407367281,2.85714285714286,9.49554896142433
"Cd19",483.601669648181,5.73065902578797,39.6039603960396,54.559043348281,0,38.4615384615385,74.2857142857143,33.8278931750742
"Cd200r3",1.78890876565295,45.8452722063037,0,0,5.52486187845304,14.0845070422535,0,2.37388724035608
"Cd200r4",1.19260584376863,8.59598853868195,9.9009900990099,3.73692077727952,5.52486187845304,2.16684723726977,25.7142857142857,1.78041543026706
"Cd22",129.994036970781,0,9.9009900990099,26.1584454409567,0,14.0845070422535,37.1428571428571,18.9910979228487
"Cd27",48.896839594514,14.3266475644699,19.8019801980198,37.3692077727952,11.0497237569061,18.4182015167931,94.2857142857143,252.818991097923
"Cd300ld",31.0077519379845,14.3266475644699,0,145.739910313901,11.0497237569061,138.678223185265,37.1428571428571,25.5192878338279
