"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0,0,0,0.894454382826476,0,0,0.648368273179166,0,0,0
"A630023P12Rik",0,0,0,0.894454382826476,0,0,0.216122757726389,0,10.1010101010101,0
"AI839979",15.7992565055762,12.6582278481013,0,15.2057245080501,0,90.9090909090909,12.9673654635833,0,0,42.9799426934097
"Adgre1",5.57620817843866,12.6582278481013,0,14.3112701252236,0,18.5185185185185,7.13205100497082,0,0,5.73065902578797
"Alox15",0,0,0,0,437.5,0,3.67408688134861,0,0,0
"Blk",63.1970260223048,37.9746835443038,0,6.26118067978533,0,1.68350168350168,5.83531445861249,0,20.2020202020202,2.86532951289398
"Bmx",8.36431226765799,6.32911392405063,0,4.47227191413238,31.25,26.9360269360269,33.931272963043,0,0,22.9226361031519
"Btla",12.0817843866171,18.9873417721519,0,7.15563506261181,0,16.8350168350168,4.53857791225416,0,20.2020202020202,2.86532951289398
"C1rl",18.5873605947955,18.9873417721519,17.8571428571429,33.9892665474061,0,47.1380471380471,45.601901880268,0,0,65.9025787965616
"Ccl22",0,6.32911392405063,0,0,0,0,0,0,0,0
"Ccl4",39.0334572490706,272.151898734177,0,47.4060822898032,2093.75,28.6195286195286,38.0376053598444,83.3333333333333,20.2020202020202,189.111747851003
"Ccl5",73.4200743494424,120.253164556962,107.142857142857,71.5563506261181,62.5,79.1245791245791,98.5519775232332,3750,2191.91919191919,42.9799426934097
"Ccr3",0,31.6455696202532,0,3.5778175313059,62.5,0,2.59347309271666,0,0,2.86532951289398
"Ccr7",27.8810408921933,25.3164556962025,0,7.15563506261181,0,1.68350168350168,7.78041927814999,0,121.212121212121,2.86532951289398
"Cd163l1",0,0,0,0,0,0,0.216122757726389,0,40.4040404040404,0
"Cd177",184.014869888476,221.518987341772,142.857142857143,160.107334525939,187.5,254.208754208754,894.748216987249,166.666666666667,252.525252525253,1355.30085959885
"Cd19",207.24907063197,25.3164556962025,17.8571428571429,12.5223613595707,31.25,11.7845117845118,17.9381888912903,41.6666666666667,10.1010101010101,5.73065902578797
"Cd200r3",0,0,0,2.68336314847943,937.5,0,13.3996109790361,0,0,45.8452722063037
"Cd200r4",0.929368029739777,0,0,0,31.25,0,0.864491030905554,41.6666666666667,0,8.59598853868195
"Cd22",34.3866171003717,0,0,3.5778175313059,31.25,1.68350168350168,5.40306894315971,0,0,0
"Cd27",31.5985130111524,25.3164556962025,0,42.0393559928444,31.25,15.1515151515152,5.40306894315971,41.6666666666667,191.919191919192,14.3266475644699
"Cd300ld",8.36431226765799,25.3164556962025,0,12.5223613595707,93.75,20.2020202020202,56.4080397665874,0,20.2020202020202,14.3266475644699
"Cd3d",21.3754646840149,12.6582278481013,0,16.994633273703,31.25,21.8855218855219,35.8763777825805,208.333333333333,454.545454545455,8.59598853868195
"Cd3e",1.85873605947955,0,0,1.78890876565295,31.25,0,1.51285930408472,41.6666666666667,60.6060606060606,0
"Cd3g",9.29368029739777,6.32911392405063,0,10.7334525939177,0,6.73400673400673,7.34817376269721,41.6666666666667,464.646464646465,14.3266475644699
"Cd4",0,50.6329113924051,0,0,0,0,1.08061378863194,0,10.1010101010101,0
"Cd40",14.8698884758364,0,0,10.7334525939177,0,11.7845117845118,1.51285930408472,0,0,0
"Cd5",0.929368029739777,0,0,0,0,0,0.648368273179166,0,20.2020202020202,0
"Cd6",1.85873605947955,0,0,2.68336314847943,0,0,2.16122757726389,0,40.4040404040404,0
"Cd7",8.36431226765799,563.291139240506,17.8571428571429,10.7334525939177,31.25,37.037037037037,11.4545061594986,583.333333333333,161.616161616162,31.5186246418338
"Cd79a",841.078066914498,132.911392405063,71.4285714285714,110.017889087657,250,67.3400673400673,117.138534687703,83.3333333333333,111.111111111111,34.3839541547278
"Cd79b",693.308550185874,221.518987341772,53.5714285714286,163.685152057245,250,80.8080808080808,155.824508320726,125,151.515151515152,25.7879656160458
"Cd83",11.1524163568773,18.9873417721519,0,3.5778175313059,0,5.05050505050505,3.24184136589583,0,0,0
"Cd8a",4.64684014869889,25.3164556962025,0,6.26118067978533,31.25,1.68350168350168,3.24184136589583,0,161.616161616162,0
"Cd8b1",10.2230483271375,132.911392405063,35.7142857142857,9.83899821109124,0,13.4680134680135,6.26755997406527,0,222.222222222222,5.73065902578797
"Clec4a3",11.1524163568773,18.9873417721519,0,65.2951699463327,93.75,99.3265993265993,13.8318564944889,0,10.1010101010101,2.86532951289398
"Clec4e",34.3866171003717,31.6455696202532,35.7142857142857,57.2450805008945,31.25,69.023569023569,175.059433758375,0,10.1010101010101,71.6332378223496
"Clec5a",29.7397769516729,31.6455696202532,53.5714285714286,88.5509838998211,31.25,52.1885521885522,103.738923708667,0,20.2020202020202,169.054441260745
"Cma1",0.929368029739777,0,0,0,0,0,0.432245515452777,0,0,0
"Ctsw",14.8698884758364,31.6455696202532,0,9.83899821109124,31.25,6.73400673400673,12.3189971904041,625,494.949494949495,0
"Cxcl2",14.8698884758364,25.3164556962025,0,28.6225402504472,125,42.0875420875421,89.2586989409985,83.3333333333333,80.8080808080808,11.4613180515759
"Cxcl3",0,0,0,0,0,0,0.216122757726389,0,0,0
"Cxcr2",14.8698884758364,37.9746835443038,0,20.5724508050089,31.25,6.73400673400673,112.383834017722,0,0,80.2292263610315
"Cxcr6",0.929368029739777,0,0,0,0,0,2.16122757726389,83.3333333333333,111.111111111111,0
"Dpep2",6.50557620817844,18.9873417721519,0,7.15563506261181,0,11.7845117845118,1.51285930408472,0,10.1010101010101,0
"Ear1",0.929368029739777,0,0,0,0,0,6.91592824724443,0,0,2.86532951289398
"Ear2",10.2230483271375,63.2911392405063,35.7142857142857,33.9892665474061,0,82.4915824915825,83.2072617246596,41.6666666666667,10.1010101010101,108.882521489971
"F630040K05Rik",1.85873605947955,0,0,0,0,0,0,0,0,0
"F730016J06Rik",1.85873605947955,0,0,3.5778175313059,0,3.36700336700337,20.7477847417333,0,0,11.4613180515759
"Fcer1a",5.57620817843866,6.32911392405063,35.7142857142857,6.26118067978533,3187.5,6.73400673400673,59.2176356170305,0,0,63.0372492836676
"Fcer2a",11.1524163568773,0,0,3.5778175313059,31.25,0,3.67408688134861,0,10.1010101010101,2.86532951289398
"Fcgr4",8.36431226765799,6.32911392405063,17.8571428571429,20.5724508050089,0,1.68350168350168,46.4663929111735,41.6666666666667,10.1010101010101,40.1146131805158
"Fcmr",82.7137546468402,6.32911392405063,0,12.5223613595707,93.75,3.36700336700337,18.370434406743,83.3333333333333,30.3030303030303,11.4613180515759
"Fcrl1",23.2342007434944,12.6582278481013,0,2.68336314847943,0,5.05050505050505,7.34817376269721,0,0,5.73065902578797
"G430095P16Rik",11.1524163568773,6.32911392405063,35.7142857142857,23.2558139534884,0,26.9360269360269,6.05143721633888,41.6666666666667,10.1010101010101,2.86532951289398
"Gapt",26.0223048327138,63.2911392405063,0,33.0948121645796,0,69.023569023569,37.1731143289388,83.3333333333333,0,85.9598853868195
"Gm13986",2.78810408921933,0,0,1.78890876565295,0,1.68350168350168,4.32245515452777,0,0,5.73065902578797
"Gm20324",6.50557620817844,12.6582278481013,0,16.994633273703,0,3.36700336700337,6.05143721633888,0,50.5050505050505,2.86532951289398
"Gm8113",4.64684014869889,12.6582278481013,0,2.68336314847943,0,0,3.89020963907499,0,0,0
"Gm9733",7.43494423791822,0,17.8571428571429,24.1502683363148,0,21.8855218855219,13.6157337367625,0,0,20.0573065902579
"Gzma",19.5167286245353,31.6455696202532,0,9.83899821109124,0,3.36700336700337,13.3996109790361,3583.33333333333,191.919191919192,5.73065902578797
"Gzmb",0,0,0,0,62.5,0,1.72898206181111,41.6666666666667,0,0
"H2-Eb2",1.85873605947955,0,0,0,0,0,0.648368273179166,0,0,0
