"","B cell","Dendritic cell","Macrophage","Neutrophil","T cell","Basophil","Monocyte","NK cell"
"2010016I18Rik",0,0,0,0,16.6666666666667,0,0,0
"A630023P12Rik",0,0,0,0,0,0,0,2.85714285714286
"AI839979",0,7.46268656716418,7.2463768115942,76.9230769230769,0,42.9799426934097,187.845303867403,2.85714285714286
"Adgre1",0,0,166.666666666667,76.9230769230769,0,5.73065902578797,60.7734806629834,2.85714285714286
"Alox15",0,7.46268656716418,7.2463768115942,0,0,0,0,2.85714285714286
"Blk",0,0,0,0,0,2.86532951289398,0,25.7142857142857
"Bmx",0,0,0,0,0,22.9226361031519,33.1491712707182,2.85714285714286
"Btla",35.7142857142857,59.7014925373134,0,0,16.6666666666667,2.86532951289398,27.6243093922652,31.4285714285714
"C1rl",0,0,3.6231884057971,0,0,65.9025787965616,60.7734806629834,0
"Ccl22",0,313.432835820896,3.6231884057971,0,0,0,0,0
"Ccl4",0,1313.4328358209,2518.11594202899,1000,200,189.111747851003,27.6243093922652,234.285714285714
"Ccl5",0,537.313432835821,76.0869565217391,0,2483.33333333333,42.9799426934097,22.0994475138122,10802.8571428571
"Ccr3",0,0,0,0,0,2.86532951289398,0,0
"Ccr7",178.571428571429,850.746268656716,21.7391304347826,153.846153846154,133.333333333333,2.86532951289398,0,117.142857142857
"Cd163l1",0,0,0,0,0,0,0,2.85714285714286
"Cd177",0,0,10.8695652173913,0,0,1355.30085959885,55.2486187845304,2.85714285714286
"Cd19",285.714285714286,0,10.8695652173913,0,0,5.73065902578797,0,74.2857142857143
"Cd200r3",0,0,0,0,0,45.8452722063037,5.52486187845304,0
"Cd200r4",0,0,3.6231884057971,0,16.6666666666667,8.59598853868195,5.52486187845304,25.7142857142857
"Cd22",0,0,0,0,0,0,0,37.1428571428571
"Cd27",0,0,0,0,16.6666666666667,14.3266475644699,11.0497237569061,94.2857142857143
"Cd300ld",0,22.3880597014925,79.7101449275362,692.307692307692,0,14.3266475644699,11.0497237569061,37.1428571428571
"Cd3d",0,22.3880597014925,3.6231884057971,0,416.666666666667,8.59598853868195,5.52486187845304,157.142857142857
"Cd3e",0,0,3.6231884057971,0,66.6666666666667,0,0,25.7142857142857
"Cd3g",0,0,10.8695652173913,0,416.666666666667,14.3266475644699,0,157.142857142857
"Cd4",0,7.46268656716418,14.4927536231884,0,16.6666666666667,0,0,2.85714285714286
"Cd40",0,14.9253731343284,10.8695652173913,0,0,0,16.5745856353591,5.71428571428571
"Cd5",0,0,0,0,0,0,0,5.71428571428571
"Cd6",0,0,0,76.9230769230769,116.666666666667,0,0,22.8571428571429
