,B cell,Basophil,Dendritic cell,Macrophage,Neutrophil,NK cell,T cell
2010016I18Rik,0,0,2.15324626,0,0,0,0
A630023P12Rik,0,0,0,1.120158763,0,0,3.087462841
AI839979,0,0,3.266140317,1.743048646,5.861530062,0,2.584962501
Adgre1,7.624386205,8.968666793,7.04477095,9.80570351,7.651051691,5.902641123,7.238404739
Alox15,0,0,2.15324626,3.531491292,4.886132035,0,0
Blk,5.457620072,0,2.625834782,2.176682368,0,0,0
Bmx,0,0,1.445799753,0,0,0,0
Btla,5.81287615,0,6.055656433,4.057402811,0,0,4.392317423
C1rl,2.834907227,0,1.445799753,3.430406742,0,0,2.584962501
Ccl22,5.240688922,0,8.382661291,5.209209265,0,0,3.754887502
Ccl4,7.27028816,12.77334529,9.474405272,9.56389894,9.362256961,9.967226259,9.038918989
Ccl5,7.624386205,0,8.174581364,7.288366073,8.425665504,11.20086255,11.36002402
Ccr3,0,0,3.266140317,3.951936803,4.886132035,0,2.584962501
Ccr7,9.20446613,0,9.798723173,6.513736862,6.849069941,5.902641123,7.238404739
Cd163l1,0,0,0,0,0,0,2.584962501
Cd177,3.730089796,0,2.15324626,2.176682368,7.168493046,0,0
Cd19,7.27028816,0,3.708073043,3.141551507,4.886132035,0,1.807354922
Cd200r3,0,8.968666793,1.445799753,0,0,0,0
Cd200r4,2.834907227,0,1.445799753,3.798133291,0,5.902641123,5.357552005
Cd22,5.81287615,0,1.445799753,4.30592258,0,0,3.087462841
Cd27,3.730089796,0,3.266140317,3.430406742,0,6.890532527,6.826548487
Cd300ld,6.539539444,0,6.055656433,8.905332856,7.651051691,0,6.918863237
Cd3d,6.221483338,0,6.264199906,5.685645402,6.438197784,6.890532527,8.611024797
Cd3e,0,0,3.503962779,3.321702303,0,0,5.87036472
Cd3g,3.730089796,0,5.518144394,4.995831277,4.886132035,9.202700038,8.611024797
Cd4,0,0,4.438935212,3.07612975,0,0,4.700439718
Cd40,5.81287615,0,4.92173836,5.510991626,0,0,4
Cd5,2.834907227,0,3.266140317,2.176682368,4.886132035,5.902641123,4.700439718
Cd6,2.834907227,0,3.503962779,3.579495955,5.861530062,6.890532527,7.113742166
Cd7,5.646155588,8.968666793,7.286995829,5.434745677,5.861530062,8.881383918,8.647458426
Cd79a,8.176639715,0,2.625834782,2.85992601,0,0,3.087462841
Cd79b,8.551643397,0,3.886852842,5.064909292,4.886132035,0,4.554588852
Cd83,7.432785247,0,9.601514662,9.678540905,4.886132035,5.902641123,6.339850003
Cd8a,2.834907227,0,5.672425342,3.625954601,0,0,6.247927513
Cd8b1,2.834907227,0,5.345367008,3.141551507,5.861530062,5.902641123,5.169925001
Clec2g,2.834907227,0,0,0.476367488,0,0,0
Clec4a3,5.457620072,0,5.282848776,8.160936659,5.861530062,5.902641123,5.930737338
Clec4e,6.539539444,0,5.9388698,6.823810745,9.298226259,0,5.523561956
Clec5a,0,0,1.445799753,3.007599816,0,0,1.807354922
Cma1,0,0,2.15324626,1.120158763,0,7.884439905,1.807354922
Ctsw,5.457620072,0,5.622809206,4.680768087,0,8.881383918,8.326429487
Cxcl2,8.114125547,9.967226259,8.174581364,11.53572183,10.50991635,6.890532527,8.147204925
Cxcl3,4.674679689,0,5.077184054,5.57158946,6.438197784,0,4.209453366
Cxcr2,2.834907227,0,1.445799753,1.563734865,6.438197784,0,0
Cxcr6,4.278349686,0,4.747498523,4.636068588,0,6.890532527,8.041659152
Dpep2,0,0,2.981222793,2.85992601,0,0,0
Ear1,0,0,0,0,8.425665504,0,0
Ear2,5.646155588,0,5.85540552,7.897727121,6.438197784,0,5.169925001
Fcer1a,0,0,0,0.833879911,4.886132035,0,0
Fcer2a,5.240688922,0,0,2.176682368,0,0,3.087462841
Fcgr4,7.087137404,0,5.811789893,8.45918145,7.429855039,5.902641123,6.54689446
Fcmr,8.236557179,0,2.625834782,3.204134837,4.886132035,0,2.584962501
Fcrl1,5.240688922,0,3.886852842,3.987955626,0,0,3.087462841
G430095P16Rik,0,0,2.981222793,0.833879911,0,0,1.807354922
Gapt,0,0,3.708073043,1.743048646,4.886132035,0,0
Gm20324,2.834907227,0,1.445799753,2.046103514,0,0,1.807354922
Gm5544,0,0,1.445799753,0,0,0,0
Gm8113,0,0,0,3.007599816,5.861530062,0,2.584962501
Gm9733,0,0,1.445799753,2.509654215,0,0,1.807354922
Gzma,7.432785247,0,7.781133568,7.191292888,7.429855039,12.88973881,10.31458324
Gzmb,3.730089796,13.13586958,6.38816578,6.15830744,9.087083933,10.63411702,9.448116305
H2-Eb2,5.457620072,0,4.189142917,1.120158763,0,0,0
I830127L07Rik,5.457620072,0,0,2.780004434,6.438197784,0,3.087462841
Ifi205,0,0,6.231469486,6.068647937,4.886132035,0,2.584962501
Ifitm6,4.674679689,8.968666793,5.811789893,6.463454017,8.012025869,0,4.95419631
Il4,0,0,2.625834782,2.935651569,4.886132035,5.902641123,6.977279923
Il9r,2.834907227,0,0,0.833879911,0,5.902641123,0
Itga2b,0,8.968666793,2.981222793,0.833879911,4.886132035,0,1.807354922
Itgam,4.278349686,0,4.549286769,4.960010999,6.849069941,0,1.807354922
Itgax,2.834907227,0,7.735176663,6.126344967,7.429855039,7.47143614,5.599912842
Izumo1r,0,0,2.625834782,1.743048646,0,0,5.672425342
Klra13-ps,3.730089796,0,0,1.743048646,0,7.47143614,3.087462841
Klra7,2.834907227,0,2.625834782,2.176682368,4.886132035,0,4.209453366
Klra8,0,0,0,2.046103514,0,0,5.06608919
Klrc1,2.834907227,0,3.708073043,4.56631017,4.886132035,7.884439905,6.727920455
Klrd1,3.730089796,8.968666793,7.254784287,4.827135181,5.861530062,8.881383918,7.459431619
Klre1,4.985265729,0,4.438935212,3.531491292,0,8.4673658,6.727920455
Klrg1,0,0,1.445799753,0,0,5.902641123,4.832890014
Klri2,2.834907227,0,2.15324626,2.046103514,0,6.890532527,4.554588852
Klrk1,3.730089796,0,6.658211483,6.034611702,5.861530062,8.205146382,6.857980995
Lck,4.674679689,0,4.837247296,4.155681337,4.886132035,8.689175806,7.820178962
Ly6g,0,0,1.445799753,0,4.886132035,0,0
Lyz1,0,0,3.503962779,4.334180594,0,0,3.087462841
Mcemp1,3.730089796,0,5.811789893,4.613188524,8.300515992,0,4.554588852
Mfsd7a,0,0,0,2.176682368,0,0,0
Mmp25,0,0,2.15324626,0.476367488,0,0,0
Ms4a4b,4.985265729,0,5.571425746,5.114630317,0,9.786846168,8.759888183
Mzb1,10.37969064,0,4.92173836,3.987955626,5.861530062,0,4
Ncr1,2.834907227,0,2.981222793,1.563734865,4.886132035,5.902641123,4.554588852
Nkg7,5.962310557,8.968666793,6.163693048,6.15830744,6.438197784,10.92345858,9.552669098
Nudt17,0,0,5.405288205,1.902519018,4.886132035,0,1.807354922
Olr1,0,0,2.981222793,2.85992601,0,0,0
Padi4,0,0,0,1.358928018,0,0,0
Prf1,4.674679689,0,1.445799753,2.406971801,0,8.689175806,6.584962501
Prg3,0,0,1.445799753,1.563734865,7.842799292,0,1.807354922
Prss57,2.834907227,0,1.445799753,0,0,0,1.807354922
Rab44,2.834907227,0,2.625834782,2.509654215,5.861530062,0,0
Rasgrp4,2.834907227,0,4.651794009,3.430406742,4.886132035,0,2.584962501
Retnlg,6.718285976,0,7.466480861,7.225639304,11.89216331,5.902641123,7.060695932
Rgs18,0,0,3.503962779,1.563734865,0,0,0
Sh2d1a,2.834907227,0,3.266140317,3.07612975,0,7.47143614,6.14974712
