,B cell,Basophil,Dendritic cell,Eosinophils,Macrophage,Monocyte,Neutrophil,NK cell,T cell
2010016I18Rik,1.014646776,0,1.778264793,0,0.876111717,0,0,1.997838659,1.391424942
A630023P12Rik,2.60929183,4.886132035,2.215740864,0,2.118255907,0,2.364398064,2.804884553,4.466228781
AI839979,1.014646776,4.886132035,3.717064211,0,3.844661853,6.522135663,4.137299431,0,1.391424942
Adgre1,3.834438801,0,5.226971045,3.472619051,7.23400803,0,3.217037597,3.319334097,2.086360285
Alox15,0,4.886132035,1.147350226,0,0,0,0,1.997838659,0
Blk,6.257580266,4.886132035,3.248757629,3.472619051,2.118255907,0,3.217037597,3.319334097,2.553392422
Bmx,1.014646776,0,2.215740864,4.96823042,4.003385815,0,5.260943927,0,0
Btla,5.886629774,0,5.522227557,4.406129831,3.568091045,0,4.69467216,3.997297817,4.466228781
C1rl,0,0,2.215740864,0,4.395756917,0,0,0,1.391424942
Ccl22,2.832373382,4.886132035,8.920640466,0,3.46271495,0,4.442737057,3.697779146,2.553392422
Ccl4,6.332561808,13.50196155,10.22182347,9.404647025,8.965053713,7.514265748,10.35320632,9.644579516,6.977279923
Ccl5,7.504717667,7.429855039,8.346171715,7.1539486,6.26722475,0,7.989320884,13.16202473,10.31300079
Ccr3,0,5.861530062,0,3.472619051,0,0,0,0,0
Ccr7,8.871433825,4.886132035,8.007751101,7.047812438,5.914443833,0,6.766645743,6.504943839,8.579291445
Cd163l1,0,0,1.147350226,0,0.876111717,0,0,0,2.905640968
Cd177,2.021914776,8.540819945,3.051441881,0,4.995964276,8.096595374,7.271714856,3.697779146,1.391424942
Cd19,8.203972184,4.886132035,4.170801221,5.686642003,4.703912244,6.522135663,5.543593427,5.520742172,4.237039197
Cd200r3,1.604458676,7.168493046,1.147350226,0,0.876111717,0,4.69467216,0,1.391424942
Cd200r4,1.604458676,5.861530062,2.215740864,0,5.722361017,0,2.364398064,2.804884553,2.553392422
Cd22,6.598698197,0,3.051441881,0,4.918375075,0,3.217037597,3.319334097,3.18854068
Cd27,3.934112064,0,2.215740864,3.472619051,2.372146816,6.522135663,3.217037597,5.697612697,6.388744182
Cd300ld,4.612906099,0,6.109438761,7.802336847,6.415785884,0,8.78409177,4.456680258,3.424956978
Cd3d,6.238209741,5.861530062,5.522227557,4.406129831,4.703912244,0,5.982780608,7.345863347,9.160951872
Cd3e,3.485952495,4.886132035,2.215740864,0,2.372146816,0,4.137299431,4.804575459,6.620624492
Cd3g,5.350352913,0,4.971620375,5.371699655,4.608325082,0,4.442737057,6.551737038,8.724779592
Cd4,3.025535092,0,1.147350226,0,3.758231565,0,0,0,5.377971052
Cd40,5.15760473,0,4.661141694,3.472619051,3.09064971,0,2.364398064,2.804884553,0
Cd5,1.604458676,0,1.778264793,3.472619051,1.417295592,0,0,0,5.812364865
Cd6,3.611702349,0,1.778264793,3.472619051,2.118255907,0,3.217037597,3.697779146,6.042974004
Cd7,3.611702349,7.168493046,6.254256597,0,3.568091045,8.096595374,3.217037597,7.927866654,6.977279923
Cd79a,10.29708003,7.168493046,6.737562576,8.04235029,6.372801433,0,7.614862547,6.985824898,5.812364865
Cd79b,9.888650073,7.429855039,6.687419268,7.735530383,6.387272351,6.522135663,7.81420682,7.052421621,6.078064143
Cd83,8.532892594,7.429855039,10.50602975,6.933243571,9.154621448,6.522135663,6.820602708,6.879784993,6.112321025
Cd8a,4.027341849,0,3.248757629,3.472619051,2.118255907,0,4.137299431,5.520742172,7.564619677
Cd8b1,4.782964789,0,3.577199363,6.354171451,3.926205567,0,4.909083899,6.186981576,8.886923811
Clec2g,1.014646776,0,0,0,0.876111717,0,0,0,0
