"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"2010016I18Rik",0,0,0,0,0,0,0,1.08342361863489
"A630023P12Rik",0,0,0,0,0,0,0,2.16684723726977
"AI839979",0,0,0,0,0,42.9799426934097,187.845303867403,25.4604550379198
"Adgre1",2.3696682464455,20.4081632653061,62.5,0,0,5.73065902578797,60.7734806629834,8.12567713976165
"Alox15",0,0,0,0,0,0,0,9.20910075839653
"Blk",0,0,0,0,35.7142857142857,2.86532951289398,0,14.626218851571
"Bmx",0,0,0,0,0,22.9226361031519,33.1491712707182,63.9219934994583
"Btla",0,0,0,0,0,2.86532951289398,27.6243093922652,15.7096424702058
"C1rl",0,0,31.25,0,0,65.9025787965616,60.7734806629834,51.4626218851571
"Ccl22",0,20.4081632653061,0,153.846153846154,0,0,0,0
"Ccl4",21.3270142180095,1142.85714285714,1234.375,76.9230769230769,0,189.111747851003,27.6243093922652,24.9187432286024
"Ccl5",42.654028436019,244.897959183673,15.625,6615.38461538462,178.571428571429,42.9799426934097,22.0994475138122,93.7161430119177
"Ccr3",0,0,0,0,0,2.86532951289398,0,4.33369447453954
"Ccr7",14.218009478673,102.040816326531,0,1076.92307692308,214.285714285714,2.86532951289398,0,57.9631635969664
"Cd163l1",0,0,0,0,71.4285714285714,0,0,0
"Cd177",0,0,0,0,0,1355.30085959885,55.2486187845304,660.888407367281
"Cd19",2.3696682464455,0,0,0,0,5.73065902578797,0,38.4615384615385
"Cd200r3",0,0,0,0,0,45.8452722063037,5.52486187845304,14.0845070422535
"Cd200r4",0,0,0,76.9230769230769,0,8.59598853868195,5.52486187845304,2.16684723726977
"Cd22",0,0,0,0,0,0,0,14.0845070422535
"Cd27",2.3696682464455,0,0,0,35.7142857142857,14.3266475644699,11.0497237569061,18.4182015167931
"Cd300ld",0,20.4081632653061,15.625,0,0,14.3266475644699,11.0497237569061,138.678223185265
"Cd3d",11.8483412322275,20.4081632653061,0,76.9230769230769,607.142857142857,8.59598853868195,5.52486187845304,78.0065005417118
"Cd3e",4.739336492891,0,0,0,0,0,0,7.5839653304442
"Cd3g",2.3696682464455,0,15.625,0,321.428571428571,14.3266475644699,0,39.0032502708559
