,B cell,Dendritic cell,Macrophage,Monocyte,Neutrophil,T cell
A630023P12Rik,0,0,0,0,0,3.930105577
AI839979,4.286771649,0,5.365618534,7.290530895,4.467720346,0.672173497
Adgre1,0,0,7.617668006,6.080373416,3.914995645,0.672173497
Alox15,2.842544351,0,0,0,6.47618998,0
Blk,6.344241104,0,0,0,0,3.813153175
Bmx,3.738300805,0,0,4.537434131,6.008546984,1.754411758
Btla,0,0,4.584271389,5.506032031,2.176682368,5.390583598
C1rl,2.842544351,0,6.004914609,6.080373416,5.749987423,0.672173497
Ccl4,7.335335211,9.527168309,7.987966359,7.069673528,3.531491292,3.30773119
Ccl5,3.738300805,6.731497682,4.189142917,0,4.680768087,10.38596158
Ccr3,0,0,5.553883032,0,4.866364719,1.754411758
Ccr7,7.095950459,0,0,0,0,9.226940967
Cd177,2.842544351,5.745010823,6.92706272,6.080373416,10.13924508,3.391705723
Cd19,7.879999159,0,2.754273197,4.537434131,0,5.122171298
Cd200r3,0,0,2.754273197,0,4.680768087,1.754411758
Cd200r4,0,0,2.754273197,0,2.176682368,1.475300456
Cd22,5.4662968,0,3.643192729,0,0,4.321285803
Cd27,3.738300805,0,5.553883032,0,0,7.987656207
Cd300ld,0,0,5.553883032,0,6.293973481,4.728970128
Cd3d,0,0,0,0,3.914995645,9.662660453
Cd3e,0,0,0,0,0,6.566336398
Cd3g,0,0,0,0,3.007599816,9.19076988
Cd4,0,0,4.189142917,0,0,5.390583598
Cd40,2.842544351,0,4.584271389,4.537434131,0,2.189296669
Cd5,0,0,0,0,0,5.170519461
Cd6,0,0,0,0,0,6.62823188
Cd7,4.286771649,9.179778168,2.754273197,5.506032031,0,6.986593237
Cd79a,10.22705135,6.731497682,5.720391696,4.537434131,5.652365299,5.70150957
Cd79b,9.736151344,0,6.624994981,5.506032031,6.085369595,6.966195202
Cd83,5.4662968,7.724693349,7.617668006,0,3.914995645,3.872814149
Cd8a,0,0,0,0,0,8.460805261
Cd8b1,2.842544351,0,0,0,2.176682368,9.920282166
Clec2g,0,0,2.754273197,0,0,0
Clec4a3,2.842544351,7.311927528,7.987966359,5.506032031,3.914995645,4.277808201
Clec4e,3.738300805,5.745010823,6.242462339,0,8.726338105,4.483169896
Clec5a,4.993864423,0,6.242462339,6.808785458,7.316966659,1.128916028
Cma1,0,0,2.754273197,0,0,3.546276216
Ctsw,0,0,0,0,0,8.150184197
Cxcl2,0,0,7.232903303,6.808785458,7.909512832,2.664766411
