,B cell,Basophil,Dendritic cell,Macrophage,Monocyte,Neutrophil,NK cell,T cell
2010016I18Rik,0,0,0,0.805196814,0,1.05895621,0,3.30773119
A630023P12Rik,2.670551745,0,0,1.99622119,0,1.663047276,1.94753258,3.930105577
AI839979,3.624072288,5.458773819,3.446387271,5.853027435,7.561061098,4.725765967,1.94753258,0.672173497
Adgre1,3.397918859,2.750747772,3.446387271,6.391624097,5.948915717,3.189931613,1.94753258,0.672173497
Alox15,0,0,0,0.805196814,0,3.351783891,1.94753258,0
Blk,6.973006322,1.950591407,5.343548546,3.995274938,0,3.96589682,4.739539538,3.813153175
Bmx,2.799715077,4.580304468,3.446387271,4.185060597,5.093778663,6.020635395,1.94753258,1.754411758
Btla,7.006845835,1.950591407,5.343548546,5.395958328,4.839168981,4.06260896,5.019193565,5.390583598
C1rl,1.759246053,6.063989916,3.446387271,4.298995776,5.948915717,5.713218005,0,0.672173497
Ccl4,3.224694913,7.570703875,7.125298375,4.12453091,4.839168981,4.69592386,7.878269918,3.30773119
Ccl5,7.116302109,5.458773819,7.224144986,7.766471962,4.529786441,6.565538428,13.39925885,10.38596158
Ccr3,0,1.950591407,0,2.455308789,0,2.415135187,0,1.754411758
Ccr7,8.491750337,1.950591407,5.916618533,6.257120018,0,5.881742027,6.884388597,9.226940967
Cd163l1,1.132646488,0,3.446387271,0,0,0,1.94753258,2.523003457
Cd177,3.819531702,10.40546152,4.940306328,6.51465067,5.813745765,9.370444193,1.94753258,3.391705723
Cd19,8.920655565,2.750747772,5.343548546,5.795949853,0,5.302375297,6.23430423,5.122171298
Cd200r3,1.47970074,5.549831548,0,0,2.705947362,3.914995645,0,1.754411758
Cd200r4,1.132646488,3.262431434,3.446387271,2.243949544,2.705947362,1.663047276,4.739539538,1.475300456
Cd22,7.03335733,0,3.446387271,4.763328996,0,3.914995645,5.25334101,4.321285803
Cd27,5.640876535,3.937970262,4.378648964,5.261877072,3.590928168,4.279337682,6.574188029,7.987656207
Cd300ld,5.000349448,3.937970262,0,7.197117498,3.590928168,7.125963302,5.25334101,4.728970128
Cd3d,7.26353727,3.262431434,4.940306328,6.840493342,2.705947362,6.303899456,7.305084585,9.662660453
Cd3e,3.624072288,0,0,3.776686282,0,3.101644249,4.739539538,6.566336398
Cd3g,6.70266316,3.937970262,5.343548546,5.853027435,0,5.322045319,7.305084585,9.19076988
Cd4,3.129602515,0,5.916618533,0,0,1.663047276,1.94753258,5.390583598
Cd40,5.376727915,0,0,4.913989534,4.135418769,1.392391852,2.74723393,2.189296669
Cd5,2.194659959,0,0,2.243949544,0,1.663047276,2.74723393,5.170519461
Cd6,3.477308146,0,0,3.995274938,0,2.798844743,4.57634937,6.62823188
Cd7,4.19320281,5.023194336,9.538333015,5.175007761,5.813745765,3.914995645,8.326429487,6.986593237
Cd79a,10.29555539,5.145023373,4.940306328,6.298804047,5.498215599,6.684283239,7.110017157,5.70150957
Cd79b,10.03192905,4.743513116,6.135595009,7.204446866,5.664589699,6.721787951,7.824731491,6.966195202
Cd83,6.420802633,0,4.940306328,4.840625056,2.705947362,3.189931613,4.392317423,3.872814149
Cd8a,5.551987354,0,4.940306328,5.446285906,0,4.569970776,5.631436931,8.460805261
Cd8b1,6.986637522,2.750747772,4.940306328,6.526395431,3.590928168,5.984061984,7.405749298,9.920282166
Clec2g,0,0,0,0.805196814,0,0,0,0
Clec4a3,4.600258688,1.950591407,6.493597876,9.289588173,7.000809296,4.918979492,5.14101231,4.277808201
Clec4e,4.973218591,6.182557988,3.446387271,6.502809511,4.135418769,7.883272106,5.14101231,4.483169896
Clec5a,3.129602515,7.409852875,4.378648964,5.261877072,6.650298046,6.876124468,1.94753258,1.128916028
Cma1,4.239481116,0,0,3.518960354,0,2.554688617,8.425665504,3.546276216
Ctsw,5.849218111,0,4.378648964,5.716154293,0,4.918979492,9.244873471,8.150184197
Cxcl2,0.67473445,3.639384767,0,1.696951937,0,5.667820796,1.94753258,2.664766411
Cxcr2,4.527521302,6.343926999,0,4.40458792,3.590928168,8.275080314,4.392317423,3.30773119
Cxcr6,2.799715077,0,0,2.243949544,0,2.415135187,2.74723393,5.599250681
Dpep2,2.37131364,0,4.378648964,5.834251368,4.529786441,0.624533109,0,1.988178969
Ear1,1.759246053,1.950591407,4.378648964,0,3.590928168,5.742708128,0,0
Ear2,4.239481116,6.779818111,4.940306328,8.502767895,7.332895816,7.202243237,5.357552005,4.089476021
F730016J06Rik,0.67473445,3.639384767,3.446387271,1.99622119,0,4.153243231,0,0
Fcer1a,0.67473445,6.000839433,0,0.805196814,0,5.379495708,0,0.672173497
Fcer2a,7.695721132,1.950591407,0,5.494916856,0,4.665451409,6.23430423,5.146547903
Fcgr4,4.095939513,5.36157935,4.378648964,6.782907638,0,6.263779105,4.886132035,3.546276216
Fcmr,9.341151789,3.639384767,4.940306328,6.722927473,2.705947362,6.273914275,7.544688504,6.776174295
Fcrl1,7.240966222,2.750747772,3.446387271,4.454620503,2.705947362,3.862232687,5.454739923,5.020324662
G430095P16Rik,3.129602515,1.950591407,0,4.454620503,5.093778663,2.415135187,1.94753258,3.471060067
Gapt,3.879212422,6.442278134,5.343548546,4.983803099,7.42853369,6.06800091,1.94753258,1.988178969
Gm13986,0,2.750747772,0,0,2.705947362,2.087554782,0,0
Gm20324,3.936522059,1.950591407,3.446387271,3.776686282,0,3.273126287,3.934112064,4.822715021
Gm8113,1.759246053,0,0,1.99622119,2.705947362,3.75053915,0,0
Gm9733,2.528677173,4.39624901,0,6.949196414,4.839168981,5.018780365,3.258734268,1.475300456
Gzma,6.031234516,2.750747772,4.940306328,6.649645529,2.705947362,4.811758229,12.92202684,7.440456408
Gzmb,1.993317351,0,0,2.639623256,0,1.05895621,8.484391359,3.471060067
H2-Eb2,5.269298168,0,0,2.639623256,0,1.392391852,3.258734268,2.189296669
I830127L07Rik,6.782977703,10.88359955,6.325672809,8.916066888,10.70997393,10.20229498,6.884388597,5.240133112
Ifi205,1.993317351,0,4.940306328,5.75660369,3.590928168,0,1.94753258,2.189296669
Ifitm6,6.759349289,10.77691138,8.312119137,9.862243529,8.252038094,10.9087317,6.737609511,6.220920079
Il4,0.67473445,3.262431434,0,0,0,0,0,0
Il9r,3.397918859,0,0,0.805196814,0,1.05895621,0,1.128916028
Itga2b,1.132646488,3.937970262,3.446387271,2.455308789,0,3.007599816,0,1.128916028
Itgam,4.600258688,8.692118361,6.78019054,7.570525101,7.061740401,8.582889156,6.952533261,3.218565033
Itgax,2.194659959,1.950591407,5.916618533,4.72307037,3.590928168,3.007599816,6.884388597,2.793837238
Izumo1r,3.397918859,1.950591407,0,1.318905839,0,1.392391852,3.258734268,4.852656845
Klra13-ps,3.692210514,0,3.446387271,3.695787467,0,3.189931613,9.399354227,6.050543034
Klra7,2.37131364,0,0,2.949807086,0,2.415135187,8.717676423,4.852656845
Klra8,3.757275201,0,0,3.926027793,0,3.101644249,9.453270634,4.321285803
Klrc1,3.027797221,1.950591407,0,2.803035473,0,1.392391852,7.110017157,4.089476021
Klrd1,5.417555661,0,8.067846983,5.776410902,3.590928168,4.279337682,9.676208966,7.960414499
Klre1,2.918258779,0,3.446387271,2.949807086,0,1.663047276,8.449443464,3.872814149
Klrg1,1.759246053,0,0,3.317392333,0,1.663047276,8.7371266,4.404497276
Klri2,2.670551745,0,3.446387271,2.243949544,0,1.05895621,7.429855039,2.793837238
Klrk1,3.129602515,0,4.940306328,3.853288573,2.705947362,1.392391852,8.784634846,4.662908683
Lck,7.177010883,3.639384767,4.940306328,6.365707809,0,5.854986536,9.040876779,9.335622278
