,B cell,Dendritic cell,Macrophage,T cell,Neutrophil,NK cell
2010016I18Rik,0,0,2.350033433,2.979219291,1.05895621,0
A630023P12Rik,1.588819976,0,0,2.771097729,1.663047276,1.94753258
AI839979,0.586892528,0,2.350033433,0,4.725765967,1.94753258
Adgre1,1.588819976,5.475028474,8.189743561,1.37238552,3.189931613,1.94753258
Alox15,0.586892528,0,7.292208467,1.867226378,3.351783891,1.94753258
Blk,4.982879065,0,2.350033433,2.654575351,3.96589682,4.739539538
Bmx,0,0,0,0.613211978,6.020635395,1.94753258
Btla,4.912480576,7.217483621,4.425714633,3.073006858,4.06260896,5.019193565
C1rl,0,0,4.891833493,0,5.713218005,0
Ccl22,2.32655583,7.450494067,3.201119623,0,0,0
Ccl4,4.134735573,10.04052798,9.350142152,9.548593363,4.69592386,7.878269918
Ccl5,8.911157323,9.029947348,9.528854372,14.65524598,6.565538428,13.39925885
Ccr3,0.586892528,0,7.214717226,2.527808302,2.415135187,0
Ccr7,4.464951639,6.594730277,0,4.401024118,5.881742027,6.884388597
Cd163l1,0,0,2.350033433,2.235000052,0,1.94753258
Cd177,1.002894073,0,3.201119623,1.640918907,9.370444193,1.94753258
Cd19,6.583150752,0,4.425714633,2.771097729,5.302375297,6.23430423
Cd200r3,0,0,0,0,3.914995645,0
Cd200r4,2.004338936,0,5.078391452,7.574545423,1.663047276,4.739539538
Cd22,5.071699271,3.277337944,5.867329383,2.654575351,3.914995645,5.25334101
Cd27,2.32655583,4.200951897,2.350033433,7.132379913,4.279337682,6.574188029
Cd300ld,1.588819976,3.277337944,6.802913579,0.613211978,7.125963302,5.25334101
Cd3d,5.838571121,6.30853689,6.63460279,10.24797778,6.303899456,7.305084585
Cd3e,3.812725017,3.277337944,5.3917542,8.578772447,3.101644249,4.739539538
Cd3g,6.354439698,6.30853689,7.132826273,11.36503882,5.322045319,7.305084585
Cd4,3.327133254,6.140885328,6.854919464,5.146816738,1.663047276,1.94753258
Cd40,3.590263875,5.161186664,5.649049992,1.042169454,1.392391852,2.74723393
Cd5,2.174424388,4.759526397,2.350033433,6.549833605,1.663047276,2.74723393
Cd6,3.327133254,0,5.3917542,8.051485474,2.798844743,4.57634937
Cd7,6.560309812,9.497331196,7.292208467,12.15475242,3.914995645,8.326429487
Cd79a,9.814740094,4.759526397,5.3917542,4.913193692,6.684283239,7.110017157
