"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0,0,0,26.3157894736842,0,0,8.08625336927224,0
"A630023P12Rik",9.50118764845606,0,0,0,50,0,30.9973045822102,0
"AI839979",0,0,111.111111111111,52.6315789473684,50,0,1.34770889487871,42.9799426934097
"Adgre1",4.75059382422803,42.1052631578947,511.111111111111,105.263157894737,0,0,5.39083557951483,5.73065902578797
"Alox15",0.791765637371338,0,0,0,50,0,0,0
"Blk",143.309580364212,21.0526315789474,0,26.3157894736842,0,0,24.2587601078167,2.86532951289398
"Bmx",0.791765637371338,0,0,0,0,0,1.34770889487871,22.9226361031519
"Btla",114.014251781473,52.6315789473684,44.4444444444444,52.6315789473684,0,60.9756097560976,49.8652291105121,2.86532951289398
"C1rl",0,0,0,0,50,0,0,65.9025787965616
"Ccl22",0,10.5263157894737,0,0,0,0,0,0
"Ccl4",7.12589073634204,0,0,0,50,182.926829268293,24.2587601078167,189.111747851003
"Ccl5",582.739509105305,989.473684210526,644.444444444444,684.210526315789,500,7987.80487804878,1239.89218328841,42.9799426934097
"Ccr3",1.58353127474268,0,288.888888888889,0,0,0,0,2.86532951289398
"Ccr7",172.604908946952,94.7368421052632,88.8888888888889,0,50,24.390243902439,257.412398921833,2.86532951289398
"Cd163l1",0,0,0,0,0,0,2.69541778975741,0
"Cd177",3.16706254948535,10.5263157894737,88.8888888888889,26.3157894736842,1100,0,2.69541778975741,1355.30085959885
"Cd19",613.618368962787,94.7368421052632,66.6666666666667,184.210526315789,250,146.341463414634,98.3827493261455,5.73065902578797
"Cd200r3",0,0,44.4444444444444,0,200,12.1951219512195,1.34770889487871,45.8452722063037
"Cd200r4",3.95882818685669,0,88.8888888888889,0,0,36.5853658536585,6.73854447439353,8.59598853868195
"Cd22",237.529691211401,94.7368421052632,66.6666666666667,52.6315789473684,50,24.390243902439,45.822102425876,0
"Cd27",58.590657165479,63.1578947368421,44.4444444444444,0,100,158.536585365854,326.145552560647,14.3266475644699
"Cd300ld",6.3341250989707,21.0526315789474,111.111111111111,26.3157894736842,0,0,4.04312668463612,14.3266475644699
"Cd3d",360.253365003959,326.315789473684,333.333333333333,236.842105263158,300,304.878048780488,1070.08086253369,8.59598853868195
"Cd3e",43.5471100554236,21.0526315789474,44.4444444444444,0,50,0,169.811320754717,0
"Cd3g",205.859065716548,157.894736842105,155.555555555556,236.842105263158,200,231.707317073171,843.66576819407,14.3266475644699
"Cd4",7.91765637371338,84.2105263157895,22.2222222222222,0,100,0,80.8625336927224,0
"Cd40",91.8448139350752,73.6842105263158,66.6666666666667,210.526315789474,50,0,14.8247978436658,0
"Cd5",7.91765637371338,10.5263157894737,0,26.3157894736842,50,0,87.6010781671159,0
"Cd6",20.5859065716548,31.5789473684211,0,52.6315789473684,0,24.390243902439,107.816711590297,0
"Cd7",50.6730007917656,789.473684210526,22.2222222222222,157.894736842105,50,658.536585365854,167.11590296496,31.5186246418338
"Cd79a",2929.53285827395,673.684210526316,644.444444444444,1263.15789473684,1000,756.09756097561,555.256064690027,34.3839541547278
"Cd79b",1765.63737133808,547.368421052632,466.666666666667,605.263157894737,1250,487.80487804878,560.646900269542,25.7879656160458
"Cd83",197.941409342835,284.210526315789,244.444444444444,52.6315789473684,50,97.5609756097561,37.7358490566038,0
"Cd8a",64.9247822644497,168.421052631579,22.2222222222222,52.6315789473684,50,121.951219512195,347.708894878706,0
"Cd8b1",179.730799683294,126.315789473684,88.8888888888889,105.263157894737,50,109.756097560976,730.458221024259,5.73065902578797
"Clec4a3",10.2929532858274,10.5263157894737,755.555555555556,631.578947368421,0,12.1951219512195,1.34770889487871,2.86532951289398
"Clec4e",7.12589073634204,10.5263157894737,22.2222222222222,26.3157894736842,200,0,1.34770889487871,71.6332378223496
"Clec5a",0.791765637371338,0,0,0,100,0,0,169.054441260745
"Cma1",3.16706254948535,10.5263157894737,0,0,0,121.951219512195,5.39083557951483,0
"Ctsw",80.7600950118765,52.6315789473684,44.4444444444444,52.6315789473684,100,804.878048780488,270.88948787062,0
"Cxcl2",0,0,0,0,0,0,0,11.4613180515759
"Cxcr2",0.791765637371338,0,0,26.3157894736842,250,0,6.73854447439353,80.2292263610315
"Cxcr6",13.4600158353127,10.5263157894737,0,0,0,24.390243902439,99.7304582210243,0
"Dpep2",2.37529691211401,0,66.6666666666667,0,0,0,1.34770889487871,0
"Ear1",0,0,22.2222222222222,0,0,0,0,2.86532951289398
"Ear2",11.0847189231987,42.1052631578947,555.555555555556,421.052631578947,150,36.5853658536585,5.39083557951483,108.882521489971
"F730016J06Rik",0,0,0,0,0,0,0,11.4613180515759
"Fcer1a",0.791765637371338,0,0,0,0,0,0,63.0372492836676
"Fcer2a",343.626286619161,42.1052631578947,88.8888888888889,131.578947368421,0,73.1707317073171,64.6900269541779,2.86532951289398
"Fcgr4",10.2929532858274,0,333.333333333333,52.6315789473684,0,12.1951219512195,6.73854447439353,40.1146131805158
"Fcmr",947.743467933492,294.736842105263,288.888888888889,315.789473684211,250,256.09756097561,241.239892183288,11.4613180515759
"Fcrl1",220.110847189232,63.1578947368421,111.111111111111,78.9473684210526,0,60.9756097560976,47.1698113207547,5.73065902578797
"G430095P16Rik",6.3341250989707,42.1052631578947,22.2222222222222,52.6315789473684,50,0,17.5202156334232,2.86532951289398
"Gapt",20.5859065716548,21.0526315789474,44.4444444444444,26.3157894736842,100,12.1951219512195,0,85.9598853868195
"Gm13986",2.37529691211401,0,0,0,0,0,0,5.73065902578797
"Gm20324",22.1694378463975,10.5263157894737,44.4444444444444,26.3157894736842,0,60.9756097560976,44.4743935309973,2.86532951289398
"Gm5544",0.791765637371338,0,0,0,0,0,0,0
"Gm8113",0,10.5263157894737,0,0,0,0,0,0
"Gm9733",3.16706254948535,157.894736842105,155.555555555556,736.842105263158,100,12.1951219512195,2.69541778975741,20.0573065902579
"Gzma",179.730799683294,147.368421052632,244.444444444444,210.526315789474,200,6146.34146341463,195.417789757412,5.73065902578797
"Gzmb",0.791765637371338,0,0,0,0,231.707317073171,6.73854447439353,0
"H2-Eb2",53.840063341251,63.1578947368421,22.2222222222222,52.6315789473684,50,0,14.8247978436658,0
