"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"2010016I18Rik",0,0,4.09836065573771,6.88559322033898,0,0,1.08342361863489,0
"A630023P12Rik",2.00803212851406,0,0,5.82627118644068,0,0,2.16684723726977,2.85714285714286
"AI839979",0.502008032128514,0,4.09836065573771,0,42.9799426934097,187.845303867403,25.4604550379198,2.85714285714286
"Adgre1",2.00803212851406,43.4782608695652,290.983606557377,1.58898305084746,5.73065902578797,60.7734806629834,8.12567713976165,2.85714285714286
"Alox15",0.502008032128514,0,155.737704918033,2.64830508474576,0,0,9.20910075839653,2.85714285714286
"Blk",30.6224899598394,0,4.09836065573771,5.29661016949153,2.86532951289398,0,14.626218851571,25.7142857142857
"Bmx",0,0,0,0.529661016949153,22.9226361031519,33.1491712707182,63.9219934994583,2.85714285714286
"Btla",29.1164658634538,147.826086956522,20.4918032786885,7.41525423728814,2.86532951289398,27.6243093922652,15.7096424702058,31.4285714285714
"C1rl",0,0,28.6885245901639,0,65.9025787965616,60.7734806629834,51.4626218851571,0
"Ccl22",4.01606425702811,173.913043478261,8.19672131147541,0,0,0,0,0
"Ccl4",16.566265060241,1052.17391304348,651.639344262295,747.881355932203,189.111747851003,27.6243093922652,24.9187432286024,234.285714285714
"Ccl5",480.421686746988,521.739130434783,737.704918032787,25801.906779661,42.9799426934097,22.0994475138122,93.7161430119177,10802.8571428571
"Ccr3",0.502008032128514,0,147.540983606557,4.76694915254237,2.86532951289398,0,4.33369447453954,0
"Ccr7",21.0843373493976,95.6521739130435,0,20.1271186440678,2.86532951289398,0,57.9631635969664,117.142857142857
"Cd163l1",0,0,4.09836065573771,3.70762711864407,0,0,0,2.85714285714286
"Cd177",1.00401606425703,0,8.19672131147541,2.11864406779661,1355.30085959885,55.2486187845304,660.888407367281,2.85714285714286
"Cd19",94.8795180722892,0,20.4918032786885,5.82627118644068,5.73065902578797,0,38.4615384615385,74.2857142857143
"Cd200r3",0,0,0,0,45.8452722063037,5.52486187845304,14.0845070422535,0
"Cd200r4",3.01204819277108,0,32.7868852459016,189.618644067797,8.59598853868195,5.52486187845304,2.16684723726977,25.7142857142857
