"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"2010016I18Rik",0,2.15982721382289,0,8.06451612903226,2.02101859337106,0,0,1.08342361863489
"A630023P12Rik",4,4.31965442764579,3.7593984962406,16.1290322580645,19.8059822150364,0,0,2.16684723726977
"AI839979",0,0,22.5563909774436,0,0,42.9799426934097,187.845303867403,25.4604550379198
"Adgre1",3.2,6.47948164146868,312.03007518797,0,0.808407437348424,5.73065902578797,60.7734806629834,8.12567713976165
"Alox15",0,2.15982721382289,0,0,0.404203718674212,0,0,9.20910075839653
"Blk",88.8,2.15982721382289,3.7593984962406,8.06451612903226,4.44624090541633,2.86532951289398,0,14.626218851571
"Bmx",0,0,3.7593984962406,0,0,22.9226361031519,33.1491712707182,63.9219934994583
"Btla",92.8,62.6349892008639,18.796992481203,0,24.6564268391269,2.86532951289398,27.6243093922652,15.7096424702058
"C1rl",0,0,7.5187969924812,0,0,65.9025787965616,60.7734806629834,51.4626218851571
"Ccl22",8,1572.35421166307,7.5187969924812,0,11.3177041228779,0,0,0
"Ccl4",17.6,516.198704103672,345.864661654135,991.935483870968,42.8455941794665,189.111747851003,27.6243093922652,24.9187432286024
"Ccl5",344,8656.58747300216,432.330827067669,7741.93548387097,1038.39935327405,42.9799426934097,22.0994475138122,93.7161430119177
"Ccr3",0.8,0,0,0,0.404203718674212,2.86532951289398,0,4.33369447453954
"Ccr7",763.2,1701.94384449244,139.097744360902,153.225806451613,524.252223120453,2.86532951289398,0,57.9631635969664
"Cd163l1",0.8,0,3.7593984962406,0,6.8714632174616,0,0,0
"Cd177",0,2.15982721382289,22.5563909774436,0,0.808407437348424,1355.30085959885,55.2486187845304,660.888407367281
"Cd19",360.8,21.5982721382289,33.8345864661654,48.3870967741935,18.997574777688,5.73065902578797,0,38.4615384615385
"Cd200r3",0,4.31965442764579,7.5187969924812,8.06451612903226,1.61681487469685,45.8452722063037,5.52486187845304,14.0845070422535
"Cd200r4",1.6,0,3.7593984962406,16.1290322580645,5.25464834276475,8.59598853868195,5.52486187845304,2.16684723726977
"Cd22",198.4,23.7580993520518,37.593984962406,8.06451612903226,13.7429264349232,0,0,14.0845070422535
"Cd27",66.4,49.6760259179266,37.593984962406,225.806451612903,216.248989490703,14.3266475644699,11.0497237569061,18.4182015167931
"Cd300ld",0,2.15982721382289,165.413533834586,8.06451612903226,1.21261115602264,14.3266475644699,11.0497237569061,138.678223185265
"Cd3d",375.2,278.617710583153,214.285714285714,532.258064516129,1005.65885206144,8.59598853868195,5.52486187845304,78.0065005417118
"Cd3e",42.4,38.8768898488121,33.8345864661654,72.5806451612903,180.679062247373,0,0,7.5839653304442
"Cd3g",243.2,131.749460043197,127.81954887218,330.645161290323,776.475343573161,14.3266475644699,0,39.0032502708559
"Cd4",15.2,36.7170626349892,48.8721804511278,8.06451612903226,53.7590945836702,0,0,2.16684723726977
"Cd40",50.4,248.380129589633,48.8721804511278,8.06451612903226,1.61681487469685,0,16.5745856353591,1.62513542795233
"Cd5",22.4,17.2786177105832,11.2781954887218,16.1290322580645,100.242522231205,0,0,2.16684723726977
"Cd6",38.4,21.5982721382289,22.5563909774436,72.5806451612903,123.282134195635,0,0,5.95882990249187
"Cd7",30.4,127.429805615551,60.1503759398496,758.064516129032,95.392077607114,31.5186246418338,55.2486187845304,14.0845070422535
"Cd79a",1908,159.827213822894,97.7443609022556,153.225806451613,102.263540824576,34.3839541547278,44.1988950276243,101.841820151679
"Cd79b",1037.6,118.790496760259,116.541353383459,161.290322580645,103.071948261924,25.7879656160458,49.7237569060773,104.550379198267
"Cd83",750.4,1434.1252699784,943.609022556391,129.032258064516,114.389652384802,0,5.52486187845304,8.12567713976165
"Cd8a",116.8,285.097192224622,82.7067669172932,56.4516129032258,434.923201293452,0,0,22.7518959913326
"Cd8b1",240.8,252.699784017279,127.81954887218,250,889.65238480194,5.73065902578797,11.0497237569061,62.296858071506
"Clec2g",0,0,7.5187969924812,0,0,0,0,0
"Clec4a3",2.4,17.2786177105832,443.609022556391,0,1.61681487469685,2.86532951289398,127.07182320442,29.2524377031419
"Clec4e",0.8,0,56.390977443609,0,0.404203718674212,71.6332378223496,16.5745856353591,235.10292524377
"Clec5a",0,2.15982721382289,22.5563909774436,0,0.404203718674212,169.054441260745,99.4475138121547,116.46803900325
"Cma1",5.6,8.63930885529158,3.7593984962406,64.5161290322581,10.1050929668553,0,0,4.87540628385699
"Ctsw",103.2,86.3930885529158,52.6315789473684,870.967741935484,360.953920776071,0,0,29.2524377031419
"Cxcl2",12,45.3563714902808,2165.41353383459,24.1935483870968,10.1050929668553,11.4613180515759,0,49.8374864572048
"Cxcl3",0,0,30.0751879699248,0,0,0,0,0
"Cxcr2",0,0,11.2781954887218,0,0,80.2292263610315,11.0497237569061,308.775731310943
"Cxcr6",22.4,25.9179265658747,3.7593984962406,80.6451612903226,70.3314470493129,0,0,4.33369447453954
"Dpep2",0.8,23.7580993520518,146.616541353383,0,0.404203718674212,0,22.0994475138122,0.541711809317443
"Ear1",0,0,0,0,0,2.86532951289398,11.0497237569061,52.546045503792
"Ear2",4.8,21.5982721382289,1251.87969924812,0,6.06305578011318,108.882521489971,160.220994475138,146.26218851571
"F730016J06Rik",0,0,0,0,0,11.4613180515759,0,16.7930660888407
"Fcer1a",1.6,0,0,0,0.404203718674212,63.0372492836676,0,40.6283856988082
"Fcer2a",443.2,69.1144708423326,33.8345864661654,16.1290322580645,19.8059822150364,2.86532951289398,0,24.3770314192849
"Fcgr4",0.8,6.47948164146868,75.187969924812,0,0.808407437348424,40.1146131805158,0,75.839653304442
"Fcmr",886.4,107.991360691145,63.9097744360902,88.7096774193548,55.375909458367,11.4613180515759,5.52486187845304,76.3813651137595
"Fcrl1",183.2,30.2375809935205,7.5187969924812,16.1290322580645,13.338722716249,5.73065902578797,5.52486187845304,13.5427952329361
"G430095P16Rik",0,15.1187904967603,11.2781954887218,0,9.29668552950687,2.86532951289398,33.1491712707182,4.33369447453954
"Gapt",8,25.9179265658747,52.6315789473684,0,0.808407437348424,85.9598853868195,171.270718232044,66.0888407367281
"Gm13986",0,0,0,0,0,5.73065902578797,5.52486187845304,3.25027085590466
"Gm20324",10.4,12.9589632829374,3.7593984962406,32.258064516129,34.357316087308,2.86532951289398,0,8.66738894907909
"Gm8113",0,2.15982721382289,15.0375939849624,0,0.808407437348424,0,5.52486187845304,12.4593716143012
"Gm9733",0,0,30.0751879699248,0,0,20.0573065902579,27.6243093922652,31.4192849404117
"Gzma",28,41.036717062635,15.0375939849624,3935.48387096774,37.5909458367017,5.73065902578797,5.52486187845304,27.0855904658722
"Gzmb",1.6,4.31965442764579,0,338.709677419355,6.46725949878739,0,0,1.08342361863489
"H2-Eb2",60.8,88.5529157667386,0,8.06451612903226,2.82942603071948,0,0,1.62513542795233
"I830127L07Rik",1.6,2.15982721382289,52.6315789473684,8.06451612903226,0.404203718674212,1888.25214899713,1674.03314917127,1177.1397616468
"Ifi205",1.6,120.950323974082,26.3157894736842,0,2.42522231204527,0,11.0497237569061,0
"Ifitm6",5.6,21.5982721382289,398.496240601504,16.1290322580645,4.85044462409054,1753.58166189112,303.867403314917,1921.45178764897
"Il4",0,2.15982721382289,3.7593984962406,0,0.404203718674212,8.59598853868195,0,0
"Il9r",2.4,6.47948164146868,3.7593984962406,8.06451612903226,1.61681487469685,0,0,1.08342361863489
"Itga2b",0.8,6.47948164146868,3.7593984962406,0,3.63783346806791,14.3266475644699,0,7.04225352112676
"Itgam",0,10.7991360691145,165.413533834586,48.3870967741935,0.404203718674212,412.607449856734,132.596685082873,382.448537378115
"Itgax",0,69.1144708423326,93.984962406015,72.5806451612903,4.04203718674212,2.86532951289398,11.0497237569061,7.04225352112676
"Izumo1r",20.8,17.2786177105832,11.2781954887218,8.06451612903226,95.392077607114,2.86532951289398,0,1.62513542795233
"Klra13-ps",0,0,3.7593984962406,395.161290322581,46.8876313662086,0,0,8.12567713976165
"Klra7",3.2,8.63930885529158,0,379.032258064516,18.1891673403395,0,0,4.33369447453954
"Klra8",2.4,0,0,766.129032258065,4.44624090541633,0,0,7.5839653304442
"Klrc1",4,4.31965442764579,3.7593984962406,290.322580645161,16.9765561843169,2.86532951289398,0,1.62513542795233
"Klrd1",39.2,127.429805615551,63.9097744360902,717.741935483871,179.870654810024,0,11.0497237569061,18.4182015167931
"Klre1",0,2.15982721382289,0,483.870967741935,9.29668552950687,0,0,2.16684723726977
"Klrg1",0.8,6.47948164146868,3.7593984962406,88.7096774193548,9.70088924818108,0,0,2.16684723726977
"Klri2",0,0,0,169.354838709677,0.404203718674212,0,0,1.08342361863489
"Klrk1",3.2,47.5161987041037,45.1127819548872,475.806451612903,12.9345189975748,0,5.52486187845304,1.62513542795233
"Lck",254.4,166.306695464363,131.578947368421,661.290322580645,745.351657235247,11.4613180515759,0,56.8797399783315
