"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"A630023P12Rik",0,0,0,0,0,0,2.85714285714286,14.2433234421365
"AI839979",18.5185185185185,0,40.2298850574713,155.555555555556,21.1267605633803,42.9799426934097,2.85714285714286,0.593471810089021
"Adgre1",0,0,195.402298850575,66.6666666666667,14.0845070422535,5.73065902578797,2.85714285714286,0.593471810089021
"Alox15",6.17283950617284,0,0,0,88.0281690140845,0,2.85714285714286,0
"Blk",80.2469135802469,0,0,0,0,2.86532951289398,25.7142857142857,13.0563798219585
"Bmx",12.3456790123457,0,0,22.2222222222222,63.3802816901408,22.9226361031519,2.85714285714286,2.37388724035608
"Btla",0,0,22.9885057471264,44.4444444444444,3.52112676056338,2.86532951289398,31.4285714285714,40.9495548961424
"C1rl",6.17283950617284,0,63.2183908045977,66.6666666666667,52.8169014084507,65.9025787965616,0,0.593471810089021
"Ccl4",160.493827160494,736.842105263158,252.873563218391,133.333333333333,10.5633802816901,189.111747851003,234.285714285714,8.90207715133531
"Ccl5",12.3456790123457,105.263157894737,17.2413793103448,0,24.6478873239437,42.9799426934097,10802.8571428571,1337.09198813056
"Ccr3",0,0,45.9770114942529,0,28.169014084507,2.86532951289398,0,2.37388724035608
"Ccr7",135.802469135802,0,0,0,0,2.86532951289398,117.142857142857,598.219584569733
"Cd177",6.17283950617284,52.6315789473684,120.689655172414,66.6666666666667,1126.76056338028,1355.30085959885,2.85714285714286,9.49554896142433
"Cd19",234.567901234568,0,5.74712643678161,22.2222222222222,0,5.73065902578797,74.2857142857143,33.8278931750742
"Cd200r3",0,0,5.74712643678161,0,24.6478873239437,45.8452722063037,0,2.37388724035608
"Cd200r4",0,0,5.74712643678161,0,3.52112676056338,8.59598853868195,25.7142857142857,1.78041543026706
"Cd22",43.2098765432099,0,11.4942528735632,0,0,0,37.1428571428571,18.9910979228487
"Cd27",12.3456790123457,0,45.9770114942529,0,0,14.3266475644699,94.2857142857143,252.818991097923
"Cd300ld",0,0,45.9770114942529,0,77.4647887323944,14.3266475644699,37.1428571428571,25.5192878338279
"Cd3d",0,0,0,0,14.0845070422535,8.59598853868195,157.142857142857,809.495548961424
"Cd3e",0,0,0,0,0,0,25.7142857142857,93.7685459940653
"Cd3g",0,0,0,0,7.04225352112676,14.3266475644699,157.142857142857,583.382789317507
"Cd4",0,0,17.2413793103448,0,0,0,2.85714285714286,40.9495548961424
"Cd40",6.17283950617284,0,22.9885057471264,22.2222222222222,0,0,5.71428571428571,3.56083086053412
"Cd5",0,0,0,0,0,0,5.71428571428571,35.0148367952522
"Cd6",0,0,0,0,0,0,22.8571428571429,97.9228486646884
"Cd7",18.5185185185185,578.947368421053,5.74712643678161,44.4444444444444,0,31.5186246418338,320,125.816023738872
"Cd79a",1197.53086419753,105.263157894737,51.7241379310345,22.2222222222222,49.2957746478873,34.3839541547278,137.142857142857,51.0385756676558
"Cd79b",851.851851851852,0,97.7011494252874,44.4444444444444,66.9014084507042,25.7879656160458,225.714285714286,124.035608308605
"Cd83",43.2098765432099,210.526315789474,195.402298850575,0,14.0845070422535,0,20,13.6498516320475
"Cd8a",0,0,0,0,0,0,48.5714285714286,351.3353115727
"Cd8b1",6.17283950617284,0,0,0,3.52112676056338,5.73065902578797,168.571428571429,967.952522255193
"Clec2g",0,0,5.74712643678161,0,0,0,0,0
"Clec4a3",6.17283950617284,157.894736842105,252.873563218391,44.4444444444444,14.0845070422535,2.86532951289398,34.2857142857143,18.3976261127596
"Clec4e",12.3456790123457,52.6315789473684,74.7126436781609,0,422.535211267606,71.6332378223496,34.2857142857143,21.3649851632047
"Clec5a",30.8641975308642,0,74.7126436781609,111.111111111111,158.450704225352,169.054441260745,2.85714285714286,1.18694362017804
