"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Neutrophil","NK cell","T cell","Basophil","Monocyte"
"2010016I18Rik",0,0,0,0,0,1.5785319652723,0,0,0,0
"A630023P12Rik",8.72093023255814,0,0,0,0,3.15706393054459,0,0,0,0
"AI839979",2.90697674418605,58.252427184466,0,3.93700787401575,0,14.9960536700868,0,0,42.9799426934097,187.845303867403
"Adgre1",11.6279069767442,58.252427184466,0,236.220472440945,52.6315789473684,11.0497237569061,0,0,5.73065902578797,60.7734806629834
"Alox15",0,0,0,0,52.6315789473684,14.9960536700868,0,0,0,0
"Blk",63.953488372093,9.70873786407767,0,0,0,2.36779794790845,0,43.4782608695652,2.86532951289398,0
"Bmx",5.81395348837209,29.126213592233,0,7.8740157480315,0,13.4175217048145,0,0,22.9226361031519,33.1491712707182
"Btla",26.1627906976744,29.126213592233,0,3.93700787401575,0,2.36779794790845,0,0,2.86532951289398,27.6243093922652
"C1rl",5.81395348837209,77.6699029126214,0,11.8110236220472,0,52.8808208366219,0,0,65.9025787965616,60.7734806629834
"Ccl22",0,0,0,3.93700787401575,0,0,0,0,0,0
"Ccl4",154.06976744186,427.184466019417,59.7014925373134,566.929133858268,1894.73684210526,127.861089187056,227.272727272727,260.869565217391,189.111747851003,27.6243093922652
"Ccl5",52.3255813953488,9.70873786407767,29.8507462686567,78.740157480315,52.6315789473684,65.5090765588003,6909.09090909091,6782.60869565217,42.9799426934097,22.0994475138122
"Ccr3",0,0,0,15.748031496063,0,0,0,0,2.86532951289398,0
"Ccr7",186.046511627907,19.4174757281553,0,7.8740157480315,0,7.10339384372534,22.7272727272727,0,2.86532951289398,0
"Cd163l1",0,0,0,0,0,0,0,43.4782608695652,0,0
"Cd177",8.72093023255814,0,44.7761194029851,0,0,434.885556432518,0,0,1355.30085959885,55.2486187845304
"Cd19",191.860465116279,0,0,15.748031496063,0,9.47119179163378,22.7272727272727,0,5.73065902578797,0
"Cd200r3",2.90697674418605,0,0,0,631.578947368421,14.2067876874507,0,0,45.8452722063037,5.52486187845304
"Cd200r4",0,0,14.9253731343284,7.8740157480315,157.894736842105,5.52486187845304,68.1818181818182,86.9565217391304,8.59598853868195,5.52486187845304
"Cd22",23.2558139534884,19.4174757281553,0,3.93700787401575,0,1.5785319652723,0,0,0,0
"Cd27",26.1627906976744,0,0,23.6220472440945,0,7.10339384372534,45.4545454545455,86.9565217391304,14.3266475644699,11.0497237569061
"Cd300ld",0,0,0,78.740157480315,0,13.4175217048145,0,0,14.3266475644699,11.0497237569061
"Cd3d",0,0,0,0,0,7.89265982636148,113.636363636364,173.913043478261,8.59598853868195,5.52486187845304
"Cd3g",5.81395348837209,0,0,19.6850393700787,0,6.31412786108919,1477.27272727273,521.739130434783,14.3266475644699,0
"Cd4",0,0,0,0,0,0.789265982636148,0,0,0,0
"Cd40",0,0,0,0,0,0,0,0,0,16.5745856353591
"Cd5",0,0,0,3.93700787401575,0,0,0,0,0,0
"Cd7",8.72093023255814,19.4174757281553,0,39.3700787401575,0,9.47119179163378,2068.18181818182,956.521739130435,31.5186246418338,55.2486187845304
"Cd79a",1235.46511627907,87.378640776699,14.9253731343284,47.244094488189,0,51.3022888713496,204.545454545455,86.9565217391304,34.3839541547278,44.1988950276243
"Cd79b",1002.90697674419,174.757281553398,149.253731343284,161.417322834646,105.263157894737,128.650355169692,68.1818181818182,130.434782608696,25.7879656160458,49.7237569060773
"Cd83",17.4418604651163,300.970873786408,0,161.417322834646,0,4.73559589581689,0,0,0,5.52486187845304
"Cd8a",0,0,0,0,0,0,0,86.9565217391304,0,0
"Cd8b1",0,0,0,0,0,0.789265982636148,0,0,5.73065902578797,11.0497237569061
"Clec4a3",2.90697674418605,67.9611650485437,0,149.606299212598,0,6.31412786108919,0,0,2.86532951289398,127.07182320442
"Clec4e",61.046511627907,300.970873786408,14.9253731343284,192.913385826772,315.789473684211,133.385951065509,0,0,71.6332378223496,16.5745856353591
"Clec5a",55.2325581395349,87.378640776699,14.9253731343284,39.3700787401575,0,214.680347277032,0,0,169.054441260745,99.4475138121547
"Cma1",0,9.70873786407767,14.9253731343284,0,3526.31578947368,2.36779794790845,0,0,0,0
"Ctsw",2.90697674418605,0,0,23.6220472440945,0,7.89265982636148,795.454545454545,739.130434782609,0,0
"Cxcl2",40.6976744186047,194.174757281553,59.7014925373134,1141.73228346457,52.6315789473684,138.910812943962,22.7272727272727,43.4782608695652,11.4613180515759,0
"Cxcl3",0,0,0,0,0,1.5785319652723,0,0,0,0
"Cxcr2",2.90697674418605,29.126213592233,0,3.93700787401575,0,39.4632991318074,0,0,80.2292263610315,11.0497237569061
"Cxcr6",0,0,0,0,0,0,113.636363636364,86.9565217391304,0,0
"Dpep2",0,67.9611650485437,0,19.6850393700787,0,6.31412786108919,0,0,0,22.0994475138122
"Ear1",17.4418604651163,19.4174757281553,14.9253731343284,7.8740157480315,157.894736842105,201.262825572218,0,0,2.86532951289398,11.0497237569061
"Ear2",11.6279069767442,194.174757281553,0,374.015748031496,1842.10526315789,164.956590370955,0,0,108.882521489971,160.220994475138
"F730016J06Rik",0,0,0,0,0,4.73559589581689,0,0,11.4613180515759,0
"Fcer1a",0,0,0,0,210.526315789474,1.5785319652723,0,0,63.0372492836676,0
"Fcgr4",2.90697674418605,19.4174757281553,0,122.047244094488,0,26.0457774269929,0,0,40.1146131805158,0
"Fcmr",49.4186046511628,0,0,0,0,1.5785319652723,0,0,11.4613180515759,5.52486187845304
"Fcrl1",5.81395348837209,0,0,27.5590551181102,0,1.5785319652723,22.7272727272727,0,5.73065902578797,5.52486187845304
"G430095P16Rik",8.72093023255814,48.5436893203883,29.8507462686567,19.6850393700787,0,19.7316495659037,0,0,2.86532951289398,33.1491712707182
"Gapt",14.5348837209302,58.252427184466,0,11.8110236220472,105.263157894737,31.5706393054459,0,0,85.9598853868195,171.270718232044
"Gm13986",0,0,0,3.93700787401575,0,6.31412786108919,0,0,5.73065902578797,5.52486187845304
"Gm20324",5.81395348837209,19.4174757281553,14.9253731343284,11.8110236220472,52.6315789473684,5.52486187845304,0,0,2.86532951289398,0
"Gm8113",8.72093023255814,0,0,7.8740157480315,105.263157894737,33.1491712707182,0,0,0,5.52486187845304
"Gm9733",0,29.126213592233,0,7.8740157480315,0,5.52486187845304,0,0,20.0573065902579,27.6243093922652
"Gzma",194.767441860465,126.21359223301,74.6268656716418,389.763779527559,315.789473684211,233.6227308603,27568.1818181818,17608.6956521739,5.73065902578797,5.52486187845304
"Gzmb",17.4418604651163,0,0,31.496062992126,0,11.0497237569061,2704.54545454545,608.695652173913,0,0
"I830127L07Rik",119.186046511628,883.495145631068,29.8507462686567,82.6771653543307,52.6315789473684,461.720599842147,0,43.4782608695652,1888.25214899713,1674.03314917127
"Ifi205",2.90697674418605,67.9611650485437,0,15.748031496063,0,1.5785319652723,0,0,0,11.0497237569061
"Ifitm6",250,1252.42718446602,179.10447761194,251.968503937008,526.315789473684,2729.2817679558,181.818181818182,347.826086956522,1753.58166189112,303.867403314917
"Il4",0,0,0,0,52.6315789473684,8.68192580899763,0,0,8.59598853868195,0
"Il9r",0,0,0,3.93700787401575,0,0,0,0,0,0
"Itga2b",0,0,0,27.5590551181102,0,13.4175217048145,0,43.4782608695652,14.3266475644699,0
"Itgam",2.90697674418605,48.5436893203883,14.9253731343284,23.6220472440945,0,123.914759273875,0,0,412.607449856734,132.596685082873
"Itgax",0,48.5436893203883,0,3.93700787401575,0,2.36779794790845,0,0,2.86532951289398,11.0497237569061
"Klra13-ps",0,0,0,0,0,0,0,43.4782608695652,0,0
"Klrc1",5.81395348837209,0,0,15.748031496063,0,0.789265982636148,681.818181818182,304.347826086957,2.86532951289398,0
"Klrd1",5.81395348837209,9.70873786407767,14.9253731343284,7.8740157480315,0,7.10339384372534,1272.72727272727,826.086956521739,0,11.0497237569061
"Klre1",0,0,0,3.93700787401575,0,0.789265982636148,68.1818181818182,43.4782608695652,0,0
"Klri2",5.81395348837209,0,0,0,0,0,45.4545454545455,0,0,0
"Klrk1",2.90697674418605,58.252427184466,14.9253731343284,15.748031496063,0,3.15706393054459,250,86.9565217391304,0,5.52486187845304
"Lck",40.6976744186047,0,0,7.8740157480315,0,8.68192580899763,386.363636363636,347.826086956522,11.4613180515759,0
"Ly6g",2.90697674418605,9.70873786407767,0,0,0,88.3977900552486,22.7272727272727,0,676.21776504298,116.022099447514
"Lyz1",0,19.4174757281553,0,7.8740157480315,0,6.31412786108919,0,0,20.0573065902579,16.5745856353591
"Mcemp1",34.8837209302326,514.563106796116,0,74.8031496062992,52.6315789473684,555.643251775849,22.7272727272727,86.9565217391304,736.389684813754,337.016574585635
"Mfsd7a",2.90697674418605,9.70873786407767,0,0,0,1.5785319652723,0,0,0,33.1491712707182
"Mmp25",0,0,0,0,0,5.52486187845304,0,0,25.7879656160458,0
"Ms4a2",0,9.70873786407767,0,19.6850393700787,684.210526315789,20.5209155485399,0,0,51.5759312320917,0
"Ms4a4b",5.81395348837209,97.0873786407767,0,19.6850393700787,0,8.68192580899763,545.454545454545,391.304347826087,14.3266475644699,55.2486187845304
"Mzb1",595.930232558139,29.126213592233,29.8507462686567,27.5590551181102,0,24.4672454617206,90.9090909090909,0,5.73065902578797,5.52486187845304
"Ncr1",0,0,0,3.93700787401575,0,2.36779794790845,500,304.347826086957,0,0
"Nkg7",101.744186046512,97.0873786407767,44.7761194029851,362.204724409449,631.578947368421,561.168113654302,2431.81818181818,2521.73913043478,246.418338108883,110.497237569061
"Nudt17",0,0,0,7.8740157480315,0,0,0,0,0,5.52486187845304
"Olr1",11.6279069767442,67.9611650485437,0,19.6850393700787,0,60.7734806629834,0,0,37.2492836676218,0
"Padi4",14.5348837209302,0,0,0,0,26.835043409629,0,0,94.5558739255014,33.1491712707182
"Prf1",0,9.70873786407767,0,0,0,1.5785319652723,159.090909090909,0,0,0
"Prg3",23.2558139534884,19.4174757281553,0,0,105.263157894737,52.0915548539858,22.7272727272727,0,14.3266475644699,11.0497237569061
"Prss57",55.2325581395349,29.126213592233,14.9253731343284,177.165354330709,0,425.414364640884,22.7272727272727,0,131.805157593123,33.1491712707182
"Rab44",14.5348837209302,19.4174757281553,0,51.1811023622047,105.263157894737,87.6085240726125,22.7272727272727,0,134.670487106017,60.7734806629834
"Rasgrp4",2.90697674418605,38.8349514563107,0,0,0,34.7277032359905,0,0,169.054441260745,116.022099447514
"Retnlg",63.953488372093,67.9611650485437,149.253731343284,114.173228346457,0,2277.03235990529,113.636363636364,217.391304347826,8.59598853868195,187.845303867403
"Rgs18",23.2558139534884,77.6699029126214,0,39.3700787401575,0,66.2983425414365,0,0,74.4985673352435,38.6740331491713
"Sh2d2a",8.72093023255814,0,0,0,0,3.15706393054459,477.272727272727,217.391304347826,0,5.52486187845304
"Siglecf",0,9.70873786407767,0,3.93700787401575,52.6315789473684,14.2067876874507,0,0,8.59598853868195,11.0497237569061
"Skint3",2.90697674418605,0,0,0,0,0.789265982636148,0,0,0,5.52486187845304
"Slamf8",0,0,0,3.93700787401575,0,0,0,0,2.86532951289398,16.5745856353591
"Spib",247.093023255814,9.70873786407767,14.9253731343284,31.496062992126,0,11.0497237569061,22.7272727272727,0,17.1919770773639,33.1491712707182
"Tal1",26.1627906976744,48.5436893203883,44.7761194029851,35.4330708661417,0,26.835043409629,0,0,2.86532951289398,0
"Tarm1",0,67.9611650485437,14.9253731343284,7.8740157480315,52.6315789473684,12.6282557221784,0,0,5.73065902578797,0
"Tcf7",0,0,0,0,0,0,45.4545454545455,0,2.86532951289398,0
"Tgtp2",2.90697674418605,9.70873786407767,44.7761194029851,15.748031496063,0,4.73559589581689,22.7272727272727,0,0,11.0497237569061
"Tlr13",8.72093023255814,19.4174757281553,0,47.244094488189,0,10.2604577742699,0,0,0,66.2983425414365
"Tnfrsf13c",75.5813953488372,19.4174757281553,14.9253731343284,0,52.6315789473684,6.31412786108919,68.1818181818182,0,0,5.52486187845304
"Tnfrsf18",5.81395348837209,0,0,7.8740157480315,0,7.10339384372534,227.272727272727,130.434782608696,25.7879656160458,0
"Tnip3",0,19.4174757281553,0,7.8740157480315,0,0,0,0,0,0
"Tpsb2",0,0,0,0,2526.31578947368,2.36779794790845,0,0,0,0
"Trac",0,0,0,0,52.6315789473684,0.789265982636148,68.1818181818182,43.4782608695652,0,0
"Xlr4b",0,29.126213592233,0,3.93700787401575,52.6315789473684,8.68192580899763,0,0,2.86532951289398,16.5745856353591
"Zap70",5.81395348837209,0,0,0,0,1.5785319652723,113.636363636364,43.4782608695652,2.86532951289398,0
"9830107B12Rik",0,0,0,0,0,26.835043409629,0,0,77.3638968481375,5.52486187845304
"A530030E21Rik",2.90697674418605,0,0,0,0,0,0,0,0,0
"Arhgef37",0,0,0,0,0,0.789265982636148,0,0,0,0
"Camp",502.906976744186,485.436893203884,417.910447761194,354.330708661417,263.157894736842,17161.7995264404,613.636363636364,695.652173913043,56000,22.0994475138122
"Cebpe",40.6976744186047,77.6699029126214,59.7014925373134,161.417322834646,52.6315789473684,737.963693764799,0,43.4782608695652,1143.2664756447,93.9226519337017
"Gfi1b",5.81395348837209,19.4174757281553,59.7014925373134,11.8110236220472,0,17.3638516179953,0,0,2.86532951289398,11.0497237569061
"Gm16194",0,0,0,3.93700787401575,0,0,0,0,5.73065902578797,0
"Gm43291",55.2325581395349,9.70873786407767,0,11.8110236220472,0,6.31412786108919,0,0,5.73065902578797,0
"Ngp",8.72093023255814,48.5436893203883,0,3.93700787401575,0,24621.9415943173,0,86.9565217391304,70349.5702005731,11.0497237569061
"Pax5",55.2325581395349,0,0,0,0,3.15706393054459,0,0,0,11.0497237569061
"Prg2",116.279069767442,19.4174757281553,29.8507462686567,31.496062992126,526.315789473684,823.204419889503,68.1818181818182,43.4782608695652,57.3065902578797,38.6740331491713
