"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","Basophil","T cell"
"2010016I18Rik",0,4.21940928270042,0.964320154291225,0,0,0,0,8.90207715133531
"A630023P12Rik",0,0,0,0,0,0,0,14.2433234421365
"AI839979",0,12.6582278481013,16.3934426229508,13.8888888888889,0,0,42.9799426934097,0.593471810089021
"Adgre1",27.7777777777778,8.43881856540084,271.938283510125,55.5555555555556,0,0,5.73065902578797,0.593471810089021
"Alox15",0,0,25.0723240115718,3.47222222222222,0,0,0,0
"Blk",83.3333333333333,0,0,0,0,0,2.86532951289398,13.0563798219585
"Bmx",0,0,0.964320154291225,0,0,0,22.9226361031519,2.37388724035608
"Btla",27.7777777777778,42.1940928270042,2.89296046287367,3.47222222222222,0,0,2.86532951289398,40.9495548961424
"C1rl",0,0,12.5361620057859,6.94444444444444,0,0,65.9025787965616,0.593471810089021
"Ccl22",27.7777777777778,274.261603375527,1.92864030858245,3.47222222222222,0,0,0,0
"Ccl4",166.666666666667,641.350210970464,810.028929604629,729.166666666667,125,166.666666666667,189.111747851003,8.90207715133531
"Ccl5",0,518.987341772152,40.5014464802314,83.3333333333333,62.5,60.6060606060606,42.9799426934097,1337.09198813056
"Ccr3",0,0,0,3.47222222222222,0,0,2.86532951289398,2.37388724035608
"Ccr7",777.777777777778,232.067510548523,12.5361620057859,10.4166666666667,0,30.3030303030303,2.86532951289398,598.219584569733
"Cd163l1",0,0,0,0,125,0,0,4.74777448071217
"Cd177",0,0,9.64320154291225,24.3055555555556,250,0,1355.30085959885,9.49554896142433
"Cd19",305.555555555556,0,1.92864030858245,6.94444444444444,0,0,5.73065902578797,33.8278931750742
"Cd200r3",0,0,1.92864030858245,0,0,0,45.8452722063037,2.37388724035608
"Cd200r4",0,0,46.2873674059788,0,0,15.1515151515152,8.59598853868195,1.78041543026706
"Cd22",55.5555555555556,8.43881856540084,16.3934426229508,0,0,0,0,18.9910979228487
"Cd27",0,0,0.964320154291225,6.94444444444444,0,0,14.3266475644699,252.818991097923
"Cd300ld",27.7777777777778,8.43881856540084,51.1089681774349,55.5555555555556,125,0,14.3266475644699,25.5192878338279
"Cd3d",55.5555555555556,12.6582278481013,1.92864030858245,3.47222222222222,0,15.1515151515152,8.59598853868195,809.495548961424
"Cd3e",0,4.21940928270042,0,0,0,0,0,93.7685459940653
"Cd3g",0,4.21940928270042,1.92864030858245,0,0,0,14.3266475644699,583.382789317507
"Cd4",0,0,9.64320154291225,0,0,0,0,40.9495548961424
"Cd40",27.7777777777778,46.4135021097046,10.6075216972035,52.0833333333333,0,15.1515151515152,0,3.56083086053412
"Cd5",0,0,0,0,0,0,0,35.0148367952522
"Cd6",0,0,0,0,0,0,0,97.9228486646884
"Cd7",0,316.455696202532,13.5004821600771,20.8333333333333,0,45.4545454545455,31.5186246418338,125.816023738872
"Cd79a",1388.88888888889,37.9746835443038,13.5004821600771,27.7777777777778,0,0,34.3839541547278,51.0385756676558
"Cd79b",777.777777777778,25.3164556962025,30.8582449373192,17.3611111111111,0,15.1515151515152,25.7879656160458,124.035608308605
"Cd83",888.888888888889,839.662447257384,394.406943105111,399.305555555556,0,196.969696969697,0,13.6498516320475
"Cd8a",0,8.43881856540084,0,0,0,0,0,351.3353115727
"Cd8b1",0,0,0,0,0,0,5.73065902578797,967.952522255193
"Clec2g",0,0,0.964320154291225,0,0,0,0,0
"Clec4a3",0,80.168776371308,281.581485053038,538.194444444444,187.5,30.3030303030303,2.86532951289398,18.3976261127596
"Clec4e",0,16.8776371308017,184.185149469624,177.083333333333,250,90.9090909090909,71.6332378223496,21.3649851632047
"Clec5a",0,4.21940928270042,76.1812921890068,10.4166666666667,0,0,169.054441260745,1.18694362017804
"Cma1",0,0,2.89296046287367,6.94444444444444,0,15.1515151515152,0,10.6824925816024
"Ctsw",0,0,1.92864030858245,0,0,30.3030303030303,0,283.086053412463
"Cxcl2",55.5555555555556,84.3881856540084,1153.3269045323,274.305555555556,1250,136.363636363636,11.4613180515759,5.34124629080119
"Cxcl3",0,0,16.3934426229508,0,0,0,0,0
"Cxcr2",0,0,7.7145612343298,0,62.5,15.1515151515152,80.2292263610315,8.90207715133531
"Cxcr6",0,0,0,0,0,0,0,47.4777448071217
"Dpep2",0,37.9746835443038,97.3963355834137,20.8333333333333,0,0,0,2.9673590504451
"Ear1",0,0,4.82160077145612,0,0,0,2.86532951289398,0
"Ear2",27.7777777777778,59.0717299578059,283.51012536162,111.111111111111,0,15.1515151515152,108.882521489971,16.0237388724036
"F730016J06Rik",0,0,0,0,0,0,11.4613180515759,0
"Fcer1a",0,4.21940928270042,1.92864030858245,3.47222222222222,62.5,0,63.0372492836676,0.593471810089021
"Fcer2a",111.111111111111,12.6582278481013,1.92864030858245,10.4166666666667,0,0,2.86532951289398,34.4213649851632
"Fcgr4",55.5555555555556,25.3164556962025,211.186113789778,267.361111111111,62.5,90.9090909090909,40.1146131805158,10.6824925816024
"Fcmr",305.555555555556,8.43881856540084,7.7145612343298,3.47222222222222,62.5,0,11.4613180515759,108.605341246291
"Fcrl1",83.3333333333333,0,9.64320154291225,3.47222222222222,0,15.1515151515152,5.73065902578797,31.4540059347181
"G430095P16Rik",0,12.6582278481013,9.64320154291225,3.47222222222222,0,15.1515151515152,2.86532951289398,10.0890207715134
"Gapt",0,8.43881856540084,6.75024108003857,6.94444444444444,0,0,85.9598853868195,2.9673590504451
