"","B cell","Dendritic cell","Macrophage","Monocyte","NK cell","Basophil","Neutrophil","T cell"
"2010016I18Rik",0,0,0,0,5.61797752808989,0,1.08342361863489,8.90207715133531
"A630023P12Rik",0,0,0,0,0,0,2.16684723726977,14.2433234421365
"AI839979",0,0,7.06713780918728,14.2857142857143,0,42.9799426934097,25.4604550379198,0.593471810089021
"Adgre1",0,30,604.240282685512,0,5.61797752808989,5.73065902578797,8.12567713976165,0.593471810089021
"Alox15",125,0,7.06713780918728,14.2857142857143,16.8539325842697,0,9.20910075839653,0
"Blk",0,0,0,0,0,2.86532951289398,14.626218851571,13.0563798219585
"Bmx",0,0,0,0,0,22.9226361031519,63.9219934994583,2.37388724035608
"Btla",0,20,10.6007067137809,14.2857142857143,0,2.86532951289398,15.7096424702058,40.9495548961424
"C1rl",0,0,3.53356890459364,0,0,65.9025787965616,51.4626218851571,0.593471810089021
"Ccl22",0,340,14.1342756183746,0,0,0,0,0
"Ccl4",62.5,1310,2982.33215547703,671.428571428571,730.337078651685,189.111747851003,24.9187432286024,8.90207715133531
"Ccl5",312.5,260,226.148409893993,100,2971.91011235955,42.9799426934097,93.7161430119177,1337.09198813056
"Ccr3",0,20,7.06713780918728,0,22.4719101123595,2.86532951289398,4.33369447453954,2.37388724035608
"Ccr7",187.5,810,38.86925795053,14.2857142857143,16.8539325842697,2.86532951289398,57.9631635969664,598.219584569733
"Cd163l1",0,0,0,0,0,0,0,4.74777448071217
"Cd177",0,0,0,42.8571428571429,0,1355.30085959885,660.888407367281,9.49554896142433
"Cd19",0,0,0,0,0,5.73065902578797,38.4615384615385,33.8278931750742
"Cd200r3",0,0,0,0,0,45.8452722063037,14.0845070422535,2.37388724035608
"Cd200r4",0,0,21.2014134275618,14.2857142857143,39.3258426966292,8.59598853868195,2.16684723726977,1.78041543026706
"Cd22",0,0,38.86925795053,0,0,0,14.0845070422535,18.9910979228487
"Cd27",0,0,0,0,140.449438202247,14.3266475644699,18.4182015167931,252.818991097923
"Cd300ld",0,20,77.7385159010601,57.1428571428571,11.2359550561798,14.3266475644699,138.678223185265,25.5192878338279
"Cd3d",0,10,7.06713780918728,0,50.561797752809,8.59598853868195,78.0065005417118,809.495548961424
"Cd3e",0,0,3.53356890459364,0,0,0,7.5839653304442,93.7685459940653
"Cd3g",0,0,7.06713780918728,0,73.0337078651685,14.3266475644699,39.0032502708559,583.382789317507
"Cd4",0,0,14.1342756183746,0,0,0,2.16684723726977,40.9495548961424
"Cd40",62.5,60,67.1378091872792,28.5714285714286,0,0,1.62513542795233,3.56083086053412
"Cd5",0,0,0,0,0,0,2.16684723726977,35.0148367952522
"Cd6",0,0,0,0,0,0,5.95882990249187,97.9228486646884
"Cd7",62.5,210,7.06713780918728,14.2857142857143,2353.93258426966,31.5186246418338,14.0845070422535,125.816023738872
"Cd79a",875,0,0,14.2857142857143,0,34.3839541547278,101.841820151679,51.0385756676558
"Cd79b",375,0,24.7349823321555,0,0,25.7879656160458,104.550379198267,124.035608308605
"Cd83",312.5,1960,685.512367491166,1500,56.1797752808989,0,8.12567713976165,13.6498516320475
"Cd8a",0,30,0,0,0,0,22.7518959913326,351.3353115727
"Cd8b1",0,20,0,0,0,5.73065902578797,62.296858071506,967.952522255193
"Clec2g",0,0,7.06713780918728,0,0,0,0,0
"Clec4a3",62.5,40,243.816254416961,114.285714285714,0,2.86532951289398,29.2524377031419,18.3976261127596
"Clec4e",0,10,77.7385159010601,1071.42857142857,28.0898876404494,71.6332378223496,235.10292524377,21.3649851632047
"Clec5a",0,0,24.7349823321555,14.2857142857143,0,169.054441260745,116.46803900325,1.18694362017804
"Cma1",0,0,3.53356890459364,0,0,0,4.87540628385699,10.6824925816024
"Ctsw",125,20,10.6007067137809,0,702.247191011236,0,29.2524377031419,283.086053412463
"Cxcl2",1062.5,260,2197.87985865724,2857.14285714286,134.831460674157,11.4613180515759,49.8374864572048,5.34124629080119
"Cxcl3",125,0,0,14.2857142857143,5.61797752808989,0,0,0
"Cxcr2",0,0,0,0,0,80.2292263610315,308.775731310943,8.90207715133531
"Cxcr6",0,30,3.53356890459364,0,16.8539325842697,0,4.33369447453954,47.4777448071217
"Dpep2",0,30,24.7349823321555,28.5714285714286,0,0,0.541711809317443,2.9673590504451
"Ear1",0,0,0,0,0,2.86532951289398,52.546045503792,0
"Ear2",0,50,109.540636042403,85.7142857142857,0,108.882521489971,146.26218851571,16.0237388724036
"F630040K05Rik",0,0,0,14.2857142857143,0,0,0,0
"F730016J06Rik",0,0,0,0,0,11.4613180515759,16.7930660888407,0
"Fcer1a",0,0,0,0,0,63.0372492836676,40.6283856988082,0.593471810089021
"Fcer2a",0,10,0,0,0,2.86532951289398,24.3770314192849,34.4213649851632
"Fcgr4",0,20,134.275618374558,128.571428571429,0,40.1146131805158,75.839653304442,10.6824925816024
"Fcmr",0,0,0,0,0,11.4613180515759,76.3813651137595,108.605341246291
"Fcrl1",0,0,14.1342756183746,0,0,5.73065902578797,13.5427952329361,31.4540059347181
"G430095P16Rik",0,0,3.53356890459364,0,5.61797752808989,2.86532951289398,4.33369447453954,10.0890207715134
"Gapt",0,40,10.6007067137809,0,5.61797752808989,85.9598853868195,66.0888407367281,2.9673590504451
"Gm13986",0,0,0,0,0,5.73065902578797,3.25027085590466,0
"Gm20324",0,10,0,0,0,2.86532951289398,8.66738894907909,27.299703264095
"Gm8113",0,10,0,0,0,0,12.4593716143012,0
"Gm9733",0,0,7.06713780918728,42.8571428571429,0,20.0573065902579,31.4192849404117,1.78041543026706
"Gzma",0,0,3.53356890459364,28.5714285714286,516.85393258427,5.73065902578797,27.0855904658722,172.700296735905
"Gzmb",62.5,0,0,0,1101.12359550562,0,1.08342361863489,10.0890207715134
"H2-Eb2",62.5,20,0,0,0,0,1.62513542795233,3.56083086053412
"I830127L07Rik",62.5,0,0,57.1428571428571,0,1888.25214899713,1177.1397616468,36.7952522255193
"Ifi205",62.5,180,98.9399293286219,171.428571428571,5.61797752808989,0,0,3.56083086053412
"Ifitm6",0,100,0,128.571428571429,5.61797752808989,1753.58166189112,1921.45178764897,73.5905044510386
"Il4",0,0,0,0,0,8.59598853868195,0,0
"Il9r",0,0,0,0,0,0,1.08342361863489,1.18694362017804
"Itga2b",0,0,0,14.2857142857143,5.61797752808989,14.3266475644699,7.04225352112676,1.18694362017804
"Itgam",62.5,140,176.678445229682,300,95.5056179775281,412.607449856734,382.448537378115,8.30860534124629
"Itgax",0,120,60.0706713780919,28.5714285714286,241.573033707865,2.86532951289398,7.04225352112676,5.93471810089021
"Izumo1r",0,0,0,0,0,2.86532951289398,1.62513542795233,27.893175074184
"Klra13-ps",0,10,7.06713780918728,0,747.191011235955,0,8.12567713976165,65.2818991097923
"Klra7",62.5,20,0,0,617.977528089888,0,4.33369447453954,27.893175074184
"Klra8",0,0,3.53356890459364,0,1264.04494382022,0,7.5839653304442,18.9910979228487
"Klrc1",0,0,0,0,106.741573033708,2.86532951289398,1.62513542795233,16.0237388724036
"Klrd1",0,230,10.6007067137809,0,578.651685393258,0,18.4182015167931,248.071216617211
"Klre1",0,0,0,0,657.303370786517,0,2.16684723726977,13.6498516320475
"Klrg1",0,0,0,14.2857142857143,235.955056179775,0,2.16684723726977,20.1780415430267
"Klri2",0,10,0,0,398.876404494382,0,1.08342361863489,5.93471810089021
"Klrk1",0,110,24.7349823321555,28.5714285714286,617.977528089888,0,1.62513542795233,24.3323442136499
"Lck",0,0,3.53356890459364,0,522.47191011236,11.4613180515759,56.8797399783315,645.103857566766
"Ly6g",0,0,0,0,0,676.21776504298,919.284940411701,1.78041543026706
"Lyz1",0,0,35.3356890459364,85.7142857142857,0,20.0573065902579,18.9599133261105,1.18694362017804
"Mcemp1",0,150,17.6678445229682,57.1428571428571,0,736.389684813754,771.939328277356,42.1364985163205
"Mfsd7a",0,0,0,0,0,0,1.08342361863489,0.593471810089021
"Mmp25",0,20,3.53356890459364,0,0,25.7879656160458,52.0043336944745,0
"Ms4a2",0,0,0,0,0,51.5759312320917,16.2513542795233,0.593471810089021
"Ms4a4b",0,40,7.06713780918728,85.7142857142857,1455.05617977528,14.3266475644699,76.9230769230769,1445.69732937685
"Mzb1",2500,0,0,0,0,5.73065902578797,28.169014084507,23.7388724035608
"Ncr1",0,0,0,0,213.483146067416,0,3.25027085590466,16.0237388724036
"Nkg7",62.5,40,31.8021201413428,71.4285714285714,2426.96629213483,246.418338108883,271.939328277356,737.685459940653
"Nudt17",0,0,0,0,0,0,1.08342361863489,0.593471810089021
"Olr1",0,10,7.06713780918728,14.2857142857143,0,37.2492836676218,18.4182015167931,0
"Padi4",187.5,0,3.53356890459364,28.5714285714286,0,94.5558739255014,169.014084507042,2.37388724035608
"Prf1",0,0,3.53356890459364,14.2857142857143,280.898876404494,0,7.5839653304442,37.9821958456973
"Prg3",0,0,0,0,0,14.3266475644699,35.7529794149512,0
"Prss57",0,10,0,0,0,131.805157593123,86.1321776814735,0.593471810089021
"Rab44",0,10,0,14.2857142857143,5.61797752808989,134.670487106017,85.0487540628386,2.37388724035608
"Rasgrp4",0,0,21.2014134275618,28.5714285714286,0,169.054441260745,202.058504875406,24.3323442136499
"Retnlg",375,240,173.144876325088,314.285714285714,174.157303370787,8.59598853868195,10774.6478873239,102.077151335312
"Rgs18",0,10,28.2685512367491,14.2857142857143,11.2359550561798,74.4985673352435,53.0877573131094,1.78041543026706
"Sh2d1a",0,0,0,0,123.595505617978,0,3.25027085590466,59.9406528189911
"Sh2d2a",0,0,10.6007067137809,0,1359.55056179775,0,8.12567713976165,69.4362017804154
"Siglecf",0,10,3.53356890459364,14.2857142857143,0,8.59598853868195,18.4182015167931,1.18694362017804
"Skint3",0,10,0,14.2857142857143,0,0,3.25027085590466,1.78041543026706
"Slamf8",0,110,17.6678445229682,14.2857142857143,0,2.86532951289398,1.62513542795233,1.18694362017804
"Spib",0,20,3.53356890459364,0,0,17.1919770773639,31.4192849404117,19.5845697329377
"Tal1",0,0,7.06713780918728,0,0,2.86532951289398,4.87540628385699,0.593471810089021
"Tarm1",0,0,0,0,0,5.73065902578797,43.8786565547129,2.9673590504451
"Tcf7",0,0,0,0,134.831460674157,2.86532951289398,14.626218851571,275.370919881306
"Tgtp2",0,30,45.9363957597173,28.5714285714286,16.8539325842697,0,7.04225352112676,50.4451038575668
"Themis",0,0,0,0,0,2.86532951289398,3.25027085590466,40.9495548961424
"Tlr13",0,0,67.1378091872792,57.1428571428571,0,0,44.4203683640303,3.56083086053412
"Tnfrsf13c",62.5,20,0,0,0,0,13.0010834236186,11.2759643916914
"Tnfrsf18",0,40,0,0,151.685393258427,25.7879656160458,16.7930660888407,68.2492581602374
"Tnip3",0,480,31.8021201413428,28.5714285714286,5.61797752808989,0,1.62513542795233,1.18694362017804
"Tpsb2",0,0,7.06713780918728,0,0,0,0,0
"Trac",62.5,0,0,0,44.9438202247191,0,36.8364030335861,528.783382789317
"Xlr4b",0,10,3.53356890459364,0,22.4719101123595,2.86532951289398,4.33369447453954,40.9495548961424
"Zap70",62.5,0,0,0,89.8876404494382,2.86532951289398,7.04225352112676,96.1424332344214
"9830107B12Rik",0,0,0,14.2857142857143,0,77.3638968481375,56.3380281690141,1.18694362017804
"A530030E21Rik",0,0,0,0,0,0,1.08342361863489,3.56083086053412
"A930002I21Rik",0,0,0,0,0,0,0,3.56083086053412
"Arhgef37",0,0,0,0,0,0,0,0.593471810089021
"Camp",0,0,7.06713780918728,0,0,56000,16923.0769230769,7.12166172106825
"Cd40lg",0,10,3.53356890459364,0,0,0,0.541711809317443,1.78041543026706
"Cebpe",0,0,0,14.2857142857143,0,1143.2664756447,348.320693391116,2.37388724035608
"Gfi1b",0,0,0,14.2857142857143,0,2.86532951289398,1.62513542795233,0
"Gm16194",0,0,0,0,0,5.73065902578797,0.541711809317443,0
"Gm43291",312.5,0,0,0,0,5.73065902578797,4.87540628385699,7.12166172106825
"Ngp",0,0,0,0,0,70349.5702005731,25985.3737811484,16.0237388724036
"Pax5",0,0,0,0,0,0,11.3759479956663,14.8367952522255
"Prg2",1125,0,0,0,5.61797752808989,57.3065902578797,646.26218851571,0.593471810089021
"Ccr6",0,0,0,0,0,0,0.541711809317443,5.93471810089021
"Clec4a4",0,0,0,0,0,0,1.08342361863489,0
"Ear6",0,0,0,0,0,5.73065902578797,133.802816901408,0.593471810089021
"Epx",0,0,0,0,0,2.86532951289398,90.465872156013,0.593471810089021
"Gzmk",0,0,0,0,5.61797752808989,0,0,2.9673590504451
"Tmigd3",0,0,0,0,0,0,1.08342361863489,0.593471810089021
"Tlr8",0,0,0,0,0,0,0,0.593471810089021
"4930430E12Rik",0,0,17.6678445229682,14.2857142857143,0,0,0,0
"Muc6",0,0,0,0,0,0,1.08342361863489,0
"Gm11695",0,0,0,0,0,0,0,0.593471810089021
"Gm6209",0,0,0,0,0,0,0.541711809317443,0
