"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0,0,0,0.921782401149146,0,0,0.721038600854579,0,0,0
"A630023P12Rik",0,0,0,0.921782401149146,0,0,0.282288864492262,0,3.47261905086962,0
"AI839979",4.07032547911438,3.77169840131092,0,4.01843161543857,0,6.52213566326572,3.80398801892328,0,0,5.45877381922605
"Adgre1",2.71725597013383,3.77169840131092,0,3.93652205945968,0,4.28677164947374,3.02361926392683,0,0,2.75074777180255
"Alox15",0,0,0,0,8.77643303244473,0,2.22468455100688,0,0,0
"Blk",6.0044345598011,5.28446540386771,0,2.8602041518545,0,1.4241167931897,2.77300771053728,0,4.40612983121254,1.95059140673861
"Bmx",3.22717304417762,2.87363878981213,0,2.45213991871501,5.01122725542325,4.80405495002025,5.12644731317142,0,0,4.58030446784311
"Btla",3.70948743619304,4.32101470768313,0,3.02779722102158,0,4.15664067249662,2.46951559679685,0,4.40612983121254,1.95059140673861
"C1rl",4.29185110181685,4.32101470768313,4.23703919730085,5.12884051769575,0,5.58910571070472,5.54231692910685,0,0,6.06398991629681
"Ccl22",0,2.87363878981213,0,0,0,0,0,0,0,0
"Ccl4",5.32313430568437,8.09355964131094,0,5.59711643036295,11.0325623590011,4.88847677590306,5.28679265287435,6.39803107397315,4.40612983121254,7.57070387506318
"Ccl5",6.21761992667755,6.92187859011415,6.75679456792813,6.18102998920467,5.98868468677217,6.32417296850358,6.63737806914179,11.8730595476615,11.0986369349931,5.45877381922605
"Ccr3",0,5.02881530961211,0,2.19465995919626,5.98868468677217,0,1.84537888345743,0,0,1.95059140673861
"Ccr7",4.85205083375178,4.71789329468127,0,3.02779722102158,0,1.4241167931897,3.13428983225099,0,6.93324357104742,1.95059140673861
"Cd163l1",0,0,0,0,0,0,0.282288864492262,0,5.37169965455517,0
"Cd177",7.53149741647441,7.79778463495521,7.16849304594918,7.33187836503169,7.55842071326866,7.99553400726678,9.80694945648736,7.38945208908437,7.98598564461081,10.405461522507
"Cd19",7.70216624696151,4.71789329468127,4.23703919730085,3.75727520096556,5.01122725542325,3.67632516281832,4.24322646357707,5.41503749927884,3.47261905086962,2.75074777180255
"Cd200r3",0,0,0,1.88102364178907,9.87421293483087,0,3.84795793112463,0,0,5.54983154813583
"Cd200r4",0.948128365801257,0,0,0,5.01122725542325,0,0.898781857074439,5.41503749927884,0,3.26243143449706
"Cd22",5.14513194408217,0,0,2.19465995919626,5.01122725542325,1.4241167931897,2.67876354384109,0,0,0
"Cd27",5.02673425197058,4.71789329468127,0,5.42758458558671,5.01122725542325,4.01359760340073,2.67876354384109,5.41503749927884,7.5918528619817,3.9379702621365
"Cd300ld",3.22717304417762,4.71789329468127,0,3.75727520096556,6.56605403817109,4.40612983121254,5.84318088961334,0,4.40612983121254,3.9379702621365
"Cd3d",4.48384573884471,3.77169840131092,0,4.16949479567175,5.01122725542325,4.51636328667603,5.204625047516,7.70965824817047,8.83145120379228,3.26243143449706
"Cd3e",1.5153774254052,0,0,1.47970073985459,5.01122725542325,0,1.32932989645468,5.41503749927884,5.94500038048628,0
"Cd3g",3.36368697581031,2.87363878981213,0,3.5525556868736,0,2.95121602057716,3.06146062972302,5.41503749927884,8.86309121488175,3.9379702621365
"Cd4",0,5.69021904361542,0,0,0,0,1.05700919143767,0,3.47261905086962,0
"Cd40",3.98822008469101,0,0,3.5525556868736,0,3.67632516281832,1.32932989645468,0,0,0
"Cd5",0.948128365801257,0,0,0,0,0,0.721038600854579,0,4.40612983121254,0
"Cd6",1.5153774254052,0,0,1.88102364178907,0,0,1.66048489882092,0,5.37169965455517,0
