"","B cell","Dendritic cell","Eosinophils","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",1.0146467759644,1.77826479302807,0,0.876111717479774,0,0,1.99783865871053,1.39142494205689,0
"A630023P12Rik",2.6092918300829,2.21574086441302,0,2.1182559067244,0,2.3643980639004,2.8048845532333,4.46622878099106,0
"AI839979",1.0146467759644,3.71706421071601,0,3.84466185273008,6.52213566326572,4.13729943136647,0,1.39142494205689,5.45877381922605
"Adgre1",3.83443880126023,5.22697104520147,3.47261905086962,7.23400803021441,0,3.21703759728043,3.31933409651236,2.08636028480318,2.75074777180255
"Alox15",0,1.14735022561751,0,0,0,0,1.99783865871053,0,0
"Blk",6.25758026617288,3.24875762920782,3.47261905086962,2.1182559067244,0,3.21703759728043,3.31933409651236,2.55339242172029,1.95059140673861
"Bmx",1.0146467759644,2.21574086441302,4.96823041950661,4.00338581483938,0,5.2609439274521,0,0,4.58030446784311
"Btla",5.88662977394619,5.52222755693356,4.40612983121254,3.5680910454078,0,4.69467216012425,3.99729781707687,4.46622878099106,1.95059140673861
"C1rl",0,2.21574086441302,0,4.39575691669752,0,0,0,1.39142494205689,6.06398991629681
"Ccl22",2.83237338209444,8.92064046593065,0,3.46271494968778,0,4.44273705740796,3.69777914561962,2.55339242172029,0
"Ccl4",6.33256180834514,10.2218234740247,9.40464702506383,8.96505371275169,7.51426574766806,10.3532063210023,9.64457951566056,6.97727992349992,7.57070387506318
"Ccl5",7.50471766695207,8.34617171520431,7.15394859966818,6.26722475014193,0,7.98932088401581,13.1620247323183,10.3130007888321,5.45877381922605
"Ccr3",0,0,3.47261905086962,0,0,0,0,0,1.95059140673861
"Ccr7",8.87143382517472,8.00775110143989,7.0478124376365,5.91444383269563,0,6.76664574298399,6.50494383890046,8.5792914454777,1.95059140673861
"Cd163l1",0,1.14735022561751,0,0.876111717479774,0,0,0,2.90564096795058,0
"Cd177",2.02191477642844,3.0514418805393,0,4.9959642757601,8.09659537408738,7.2717148561644,3.69777914561962,1.39142494205689,10.405461522507
"Cd19",8.20397218421809,4.17080122074704,5.68664200254895,4.70391224434677,6.52213566326572,5.54359342682031,5.52074217203167,4.23703919730085,2.75074777180255
"Cd200r3",1.60445867634695,1.14735022561751,0,0.876111717479774,0,4.69467216012425,0,1.39142494205689,5.54983154813583
"Cd200r4",1.60445867634695,2.21574086441302,0,5.72236101702337,0,2.3643980639004,2.8048845532333,2.55339242172029,3.26243143449706
"Cd22",6.59869819674313,3.0514418805393,0,4.91837507459749,0,3.21703759728043,3.31933409651236,3.18854067960966,0
"Cd27",3.93411206434354,2.21574086441302,3.47261905086962,2.37214681602811,6.52213566326572,3.21703759728043,5.69761269681172,6.38874418246074,3.9379702621365
"Cd300ld",4.61290609929901,6.10943876050514,7.80233684729098,6.41578588397777,0,8.78409176952476,4.45668025823761,3.42495697847637,3.9379702621365
