"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"2010016I18Rik",0.447738948841087,0,2.30817712462755,2.97721937246382,0,0,1.05895620969413,0
"A630023P12Rik",1.29607796946946,0,0,2.76914291454533,0,0,1.66304727616028,1.94753258010587
"AI839979",0.447738948841087,0,2.30817712462755,0,5.45877381922605,7.56106109761186,4.7257659666062,1.94753258010587
"Adgre1",1.49544194978515,5.32418054661874,8.13766956279543,1.37098010138803,2.75074777180255,5.9489157173668,3.18993161311906,1.94753258010587
"Alox15",1.06467805763924,0,7.24029170077553,1.86556399414932,0,0,3.35178389072735,1.94753258010587
"Blk",4.58049310020903,0,2.30817712462755,2.65264877842219,1.95059140673861,0,3.9658968198644,4.73953953783003
"Bmx",0,0,0,0.612419245527288,4.58030446784311,5.09377866262286,6.02063539495234,1.94753258010587
"Btla",4.48993849970705,7.06406908038551,4.37593229446041,3.07098864606878,1.95059140673861,4.83916898116688,4.0626089598257,5.01919356523331
"C1rl",0,0,4.84136855887517,0,6.06398991629681,5.9489157173668,5.71321800478139,0
"Ccl22",1.96761431719506,7.29691620687929,3.15463802354112,0,0,0,0,0
"Ccl4",3.74121182452801,9.90979935053797,9.30699826466521,9.54630582524109,7.57070387506318,4.83916898116688,4.69592386010756,7.87826991766875
"Ccl5",8.58703366243446,9.15813628540764,9.49258946216577,14.6539916029093,5.45877381922605,4.52978644096093,6.5655384282732,13.3992588481804
"Ccr3",0.447738948841087,0,7.16281919049414,2.52591515845575,1.95059140673861,0,2.41513518658909,0
"Ccr7",4.02536929367669,6.44190670454224,0,4.39884202140626,1.95059140673861,0,5.88174202744809,6.88438859711367
"Cd163l1",0,0,2.30817712462755,2.23319632954752,0,0,0,1.94753258010587
"Cd177",1.06467805763924,0,3.15463802354112,1.63936318971286,10.405461522507,5.8137457654895,9.37044419274581,1.94753258010587
"Cd19",6.14708269796266,0,4.37593229446041,2.76914291454533,2.75074777180255,0,5.30237529746596,6.23430422957961
"Cd200r3",0,0,0,0,5.54983154813583,2.70594736231395,3.91499564524557,0
"Cd200r4",1.67057121622999,0,5.02770935034306,7.57226685090107,3.26243143449706,2.70594736231395,1.66304727616028,4.73953953783003
"Cd22",4.64486383433525,3.13955135239879,5.81598441743769,2.65264877842219,0,0,3.91499564524557,5.25334100962995
"Cd27",1.96761431719506,4.05528243550119,2.30817712462755,7.13010565367536,3.9379702621365,3.59092816755755,4.27933768169201,6.57418802912698
"Cd300ld",1.29607796946946,3.13955135239879,6.75113385481432,0.612419245527288,3.9379702621365,3.59092816755755,7.12596330177775,5.25334100962995
"Cd3d",5.4211767408743,6.15608307628868,6.58288201885297,10.2463173159698,3.26243143449706,2.70594736231395,6.30389945594247,7.30508458472395
"Cd3e",3.48403866430779,3.13955135239879,5.340764905012,8.5764878441661,0,0,3.10164424924247,4.73953953783003
"Cd3g",5.94034458907296,6.15608307628868,7.08094915484312,11.3627490862621,3.9379702621365,0,5.32204531886594,7.30508458472395
"Cd4",3.22800646469161,5.98868468677217,6.85330339068571,5.14459084487559,0,0,1.66304727616028,1.94753258010587
"Cd40",3.22800646469161,5.01122725542325,5.59785382389846,1.04099161702309,0,4.13541876945631,1.39239185180557,2.74723392962003
"Cd5",1.82672424690524,4.61102479730735,2.30817712462755,6.547567473805,0,0,1.66304727616028,2.74723392962003
"Cd6",2.91651836554534,0,5.340764905012,8.04920351599858,0,0,2.79884474346089,4.57634937041645
"Cd7",6.11714211604571,9.36029842661805,7.24029170077553,12.1526298947974,5.02319433556088,5.8137457654895,3.91499564524557,8.3264294871223
"Cd79a",9.50433184581934,4.61102479730735,5.340764905012,4.91097917178795,5.14502337300783,5.49821559855321,6.68428323890338,7.11001715741924
"Cd79b",8.80106468814849,6.30606168942834,6.69720109764618,6.72392034335364,4.74351311626598,5.66458969898141,6.72178795146763,7.82473149077758
"Cd83",6.24030877378656,8.75049764209908,8.5258689432579,4.53670387212319,0,2.70594736231395,3.18993161311906,4.39231742277876
"Cd8a",4.96364911276046,9.25355206263746,6.64117359184944,10.7124328818167,0,0,4.56997077583058,5.63143693052066
"Cd8b1",3.85442836087243,9.7488217946147,4.84136855887517,8.9402161410869,2.75074777180255,3.59092816755755,5.98406198384341,7.40574929758431
"Clec2g",2.21381701495975,0,2.30817712462755,0,0,0,0,0
"Clec4a3",1.29607796946946,0,7.27752172433014,0,1.95059140673861,7.00080929625336,4.91897949249899,5.14101230952707
"Clec4e",0,0,4.84136855887517,0,6.1825579883989,4.13541876945631,7.88327210600683,5.14101230952707
"Clec5a",0.447738948841087,4.05528243550119,5.02770935034306,0,7.40985287474539,6.6502980459787,6.87612446789434,1.94753258010587
"Cma1",0,0,0,0.612419245527288,0,0,2.55468861736944,8.42566550441689
"Ctsw",5.53877489038107,6.78626962764847,6.52213566326572,10.0637665147693,0,0,4.91897949249899,9.2448734712898
"Cxcl2",2.6075349139222,7.06406908038551,10.0715948460631,4.4694190554752,3.63938476725441,0,5.66782079624969,1.94753258010587
"Cxcl3",0,0,6.64117359184944,0.612419245527288,0,0,0,0
"Cxcr2",0,0,2.30817712462755,0,6.34392699889581,3.59092816755755,8.27508031360267,4.39231742277876
"Cxcr6",3.11135210895057,0,4.37593229446041,7.71708009319346,0,0,2.41513518658909,2.74723392962003
"Dpep2",1.29607796946946,0,6.58288201885297,2.06105877644701,0,4.52978644096093,0.624533108880708,0
"Ear1",0,0,0,0,1.95059140673861,3.59092816755755,5.74270812751496,0
"Ear2",0.447738948841087,6.30606168942834,2.30817712462755,0,6.77981811141087,7.33289581610316,7.20224323696083,5.35755200461808
"F630040K05Rik",0,0,0,0,0,0,0,0
"F730016J06Rik",0,0,2.30817712462755,0.612419245527288,3.63938476725441,0,4.15324323112606,0
"Fcer1a",0.447738948841087,0,0,0,6.00083943319059,0,5.37949570838639,0
"Fcer2a",3.85442836087243,0,0,1.04099161702309,1.95059140673861,0,4.66545140885902,6.23430422957961
"Fcgr4",1.82672424690524,5.79928162152192,8.39646940742562,1.37098010138803,5.36157935049781,0,6.26377910455855,4.88613203544172
"Fcmr",5.49287939433905,3.13955135239879,2.30817712462755,2.97721937246382,3.63938476725441,2.70594736231395,6.2739142750187,7.54468850373783
