"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0,0,0,4.77166321491429,0,0,3.18368553536341,0
"A630023P12Rik",3.39248059588767,0,0,0,5.6724253419715,0,4.99987847407305,0
"AI839979",0,0,6.80878545766404,5.74501082272223,5.6724253419715,0,1.23125353197806,5.45877381922605
"Adgre1",2.52371094093254,5.42979212819742,9.00031305089434,6.73149768188789,0,0,2.67600457086121,2.75074777180255
"Alox15",0.84138194547934,0,0,0,5.6724253419715,0,0,0
"Blk",7.17302326981963,4.46287892025577,0,4.77166321491429,0,0,4.65871191729838,1.95059140673861
"Bmx",0.84138194547934,0,0,0,0,0,1.23125353197806,4.58030446784311
"Btla",6.84566883094885,5.74501082272223,5.50603203149944,5.74501082272223,0,5.95362865543527,5.66860787826844,1.95059140673861
"C1rl",0,0,0,0,5.6724253419715,0,0,6.06398991629681
"Ccl22",0,3.52685954615759,0,0,0,0,0,0
"Ccl4",3.0225259657015,0,0,0,5.6724253419715,7.52298812971565,4.65871191729838,7.57070387506318
"Ccl5",9.18918090689209,9.95197483458831,9.33414911307826,9.42040350428324,8.96866679319521,12.9637639773679,10.277162054931,5.45877381922605
"Ccr3",1.36934434830431,0,8.17935622737514,0,0,0,0,1.95059140673861
"Ccr7",7.43966393256457,6.5810023142079,6.49007089098767,0,5.6724253419715,4.66620234868133,8.01353148362194,1.95059140673861
"Cd163l1",0,0,0,0,0,0,1.88573747915842,0
"Cd177",2.05903075570522,3.52685954615759,6.49007089098767,4.77166321491429,10.1045987535644,0,1.88573747915842,10.405461522507
"Cd19",9.26354707485643,6.5810023142079,6.08037341646402,7.53302228530608,7.97154355395077,7.20301966661847,6.63492354806872,2.75074777180255
"Cd200r3",0,0,5.50603203149944,0,7.65105169117893,3.72193277920873,1.23125353197806,5.54983154813583
"Cd200r4",2.30999923981722,0,6.49007089098767,0,0,5.2320991418967,2.95206223858638,3.26243143449706
"Cd22",7.89802504802794,6.5810023142079,6.08037341646402,5.74501082272223,5.6724253419715,4.66620234868133,5.54911781129555,0
"Cd27",5.89701425246057,6.00355489717663,5.50603203149944,0,6.65821148275179,7.31774349447598,8.35378884762933,3.9379702621365
"Cd300ld",2.87462487446592,4.46287892025577,6.80878545766404,4.77166321491429,0,0,2.33431846661998,3.9379702621365
"Cd3d",8.49686721587085,8.35453938838698,8.38514338989102,7.89386032822742,8.2336196767597,8.25681276593577,10.0648516868535,3.26243143449706
"Cd3e",5.47725993642254,4.46287892025577,5.50603203149944,0,5.6724253419715,0,7.41625978449572,0
"Cd3g",7.69250437566638,7.31192752807004,7.29053089486733,7.89386032822742,7.65105169117893,7.86237276424473,9.72223677382299,3.9379702621365
"Cd4",3.1566646089935,6.41295975685898,4.53743413063857,0,6.65821148275179,0,6.35513141460456,0
"Cd40",6.53674942218209,6.22273136061697,6.08037341646402,7.72469334861516,5.6724253419715,0,3.98411516472716,0
